id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
ENG-0	NAG	NAG	0.0012657571	0.99761295	0.0011211474
ENG-1	NAG	NAG	0.0013451433	0.997602	0.0010530301
ENG-2	NAG	NAG	0.00093988655	0.9976634	0.0013965705
ENG-3	NAG	NAG	0.047542006	0.6365931	0.31586495
ENG-4	NAG	NAG	0.00094706216	0.9906704	0.0083826
ENG-5	NAG	NAG	0.0102799935	0.6271438	0.36257625
ENG-6	NAG	NAG	0.0008407002	0.99714214	0.0020173148
ENG-7	CAG	CAG	0.048921186	0.33435732	0.6167215
ENG-8	NAG	NAG	0.0077971406	0.9283402	0.063862644
ENG-9	NAG	NAG	0.001334711	0.9975968	0.0010683764
ENG-10	NAG	NAG	0.00142933	0.9973081	0.0012627459
ENG-11	NAG	NAG	0.0019347393	0.99677414	0.0012910026
ENG-12	NAG	NAG	0.00087536743	0.99772143	0.0014034023
ENG-13	NAG	NAG	0.014290969	0.9790386	0.00667038
ENG-14	CAG	NAG	0.005006126	0.5283356	0.46665826
ENG-15	NAG	NAG	0.0015121907	0.9973994	0.0010886199
ENG-16	NAG	NAG	0.0011879897	0.9948278	0.003984179
ENG-17	NAG	NAG	0.0006956093	0.9960539	0.0032505055
ENG-18	NAG	NAG	0.17067622	0.6663731	0.16295068
ENG-19	CAG	CAG	0.35440114	0.02795802	0.61764085
ENG-20	NAG	NAG	0.00076997664	0.99524486	0.0039850874
ENG-21	NAG	NAG	0.0013719526	0.97843677	0.020191304
ENG-22	NAG	NAG	0.000792457	0.9972529	0.0019543846
ENG-23	NAG	NAG	0.00066325517	0.99659216	0.0027445175
ENG-24	NAG	NAG	0.004777783	0.9690177	0.026204534
ENG-25	NAG	NAG	0.0008080483	0.99697906	0.0022128576
ENG-26	NAG	NAG	0.00082547846	0.9972358	0.0019385745
ENG-27	NAG	NAG	0.0015386732	0.9974284	0.0010328444
ENG-28	OAG	OAG	0.60070443	0.05528048	0.34401503
ENG-29	NAG	NAG	0.0014855198	0.99734086	0.0011734529
ENG-30	NAG	NAG	0.00077592244	0.99782896	0.0013952445
ENG-31	NAG	NAG	0.0016046826	0.99741364	0.0009818363
ENG-32	NAG	NAG	0.0017394769	0.9600764	0.03818413
ENG-33	NAG	NAG	0.00069460965	0.9975397	0.0017656747
ENG-34	NAG	NAG	0.012371377	0.9839424	0.0036862886
ENG-35	NAG	NAG	0.002107692	0.99660975	0.0012826563
ENG-36	NAG	NAG	0.0011736751	0.9978684	0.0009581217
ENG-37	NAG	OAG	0.8906443	0.021407291	0.08794852
ENG-38	NAG	NAG	0.0012554735	0.9976591	0.0010855305
ENG-39	NAG	NAG	0.0021304723	0.99666625	0.0012031144
ENG-40	NAG	NAG	0.00094051694	0.99754447	0.0015148595
ENG-41	NAG	NAG	0.010345164	0.9573059	0.032348864
ENG-42	CAG	CAG	0.13455576	0.1952672	0.670177
ENG-43	NAG	NAG	0.031105703	0.8814344	0.08745983
ENG-44	CAG	OAG	0.8335475	0.026011752	0.14044079
ENG-45	NAG	NAG	0.0010611045	0.9976696	0.0012691258
ENG-46	NAG	NAG	0.0014054744	0.9973908	0.0012034414
ENG-47	CAG	NAG	0.04815093	0.60016066	0.35168836
ENG-48	NAG	NAG	0.0025771772	0.86494744	0.13247532
ENG-49	NAG	NAG	0.0008835343	0.9977695	0.0013468711
ENG-50	NAG	NAG	0.0011196589	0.99786127	0.0010188284
ENG-51	NAG	NAG	0.0013034705	0.9977295	0.00096699287
ENG-52	NAG	NAG	0.0011940899	0.9978142	0.0009916791
ENG-53	NAG	NAG	0.0012042732	0.99683785	0.0019580252
ENG-54	OAG	CAG	0.022221552	0.24826068	0.7295177
ENG-55	NAG	NAG	0.0017861361	0.99720347	0.0010102044
ENG-56	NAG	NAG	0.0017901349	0.997271	0.00093910797
ENG-57	NAG	NAG	0.021533165	0.87554556	0.10292131
ENG-58	NAG	NAG	0.0014423811	0.9944892	0.0040686303
ENG-59	NAG	NAG	0.0008208934	0.9945679	0.0046111755
ENG-60	CAG	CAG	0.0818437	0.048191357	0.86996496
ENG-61	NAG	NAG	0.023754608	0.86421764	0.112027936
ENG-62	OAG	OAG	0.9685506	0.020084515	0.011364763
ENG-63	NAG	NAG	0.00091195805	0.99746406	0.0016238111
ENG-64	OAG	OAG	0.97965384	0.013864855	0.0064812913
ENG-65	NAG	NAG	0.017185459	0.701135	0.2816795
ENG-66	CAG	CAG	0.100102544	0.054913864	0.8449836
ENG-67	NAG	NAG	0.00069572474	0.99739224	0.0019121286
ENG-68	NAG	NAG	0.0010776253	0.99771	0.0012125182
ENG-69	NAG	NAG	0.005104732	0.99309194	0.0018035198
ENG-70	NAG	NAG	0.0011181283	0.99781513	0.0010669371
ENG-71	OAG	OAG	0.9875961	0.006599559	0.005804409
ENG-72	CAG	CAG	0.021822851	0.031563286	0.94661397
ENG-73	NAG	NAG	0.001593819	0.97916234	0.019244036
ENG-74	CAG	CAG	0.030676726	0.06897638	0.9003468
ENG-75	NAG	NAG	0.0016691671	0.997319	0.0010118315
ENG-76	NAG	NAG	0.002147093	0.9966649	0.0011879897
ENG-77	NAG	NAG	0.0012490365	0.99777424	0.0009768391
ENG-78	NAG	NAG	0.00059449923	0.99681216	0.0025931322
ENG-79	NAG	NAG	0.0011849855	0.9978456	0.0009692849
ENG-80	NAG	NAG	0.00079459336	0.99270254	0.0065027317
ENG-81	NAG	NAG	0.0016670711	0.99734133	0.0009913822
ENG-82	NAG	NAG	0.0011725256	0.9972729	0.0015548231
ENG-83	NAG	NAG	0.0012160067	0.99714214	0.0016420013
ENG-84	NAG	NAG	0.0021426806	0.9959931	0.0018642634
ENG-85	NAG	NAG	0.03371381	0.87730706	0.08897917
ENG-86	NAG	NAG	0.0008853102	0.9880662	0.01104853
ENG-87	NAG	NAG	0.0012224844	0.99722725	0.0015501283
ENG-88	NAG	NAG	0.0023827176	0.89320016	0.10441711
ENG-89	NAG	NAG	0.0009926821	0.9978456	0.0011616177
ENG-90	NAG	NAG	0.000828349	0.9844685	0.014703155
ENG-91	NAG	NAG	0.0006909613	0.99729806	0.002010888
ENG-92	CAG	CAG	0.09064891	0.059111062	0.85023993
ENG-93	NAG	NAG	0.0026388608	0.9958449	0.0015163829
ENG-94	NAG	NAG	0.0007217633	0.9945802	0.0046982164
ENG-95	NAG	NAG	0.00084179407	0.99745977	0.0016984108
ENG-96	OAG	OAG	0.9879322	0.007373748	0.004693984
ENG-97	NAG	NAG	0.0011573753	0.9978641	0.0009783877
ENG-98	NAG	NAG	0.010091193	0.9246458	0.065262996
ENG-99	NAG	NAG	0.0013605491	0.99761105	0.0010284685
ENG-100	NAG	NAG	0.0012229532	0.9831782	0.015598818
ENG-101	NAG	NAG	0.025383692	0.9070149	0.06760135
ENG-102	NAG	NAG	0.0075589274	0.89152896	0.10091196
ENG-103	NAG	NAG	0.0009796645	0.986452	0.012568331
ENG-104	NAG	NAG	0.0011001028	0.99778277	0.00111716
ENG-105	NAG	NAG	0.0010587826	0.9978917	0.0010493265
ENG-106	NAG	NAG	0.0013722188	0.9725916	0.026036235
ENG-107	NAG	NAG	0.00211877	0.9968588	0.0010221987
