id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
ENG-0	NAG	NAG	0.010113583	0.96394205	0.02594432
ENG-1	NAG	NAG	0.01000041	0.96465296	0.025346585
ENG-2	NAG	NAG	0.010506804	0.96152115	0.027971908
ENG-3	NAG	OAG	0.69265646	0.10974252	0.197601
ENG-4	NAG	NAG	0.017050974	0.9324948	0.050454173
ENG-5	NAG	NAG	0.099652745	0.61478657	0.2855607
ENG-6	NAG	NAG	0.00985792	0.96538365	0.024758505
ENG-7	CAG	OAG	0.49952722	0.12097589	0.37949693
ENG-8	NAG	NAG	0.012520138	0.9507742	0.03670567
ENG-9	NAG	NAG	0.009864056	0.96534246	0.024793468
ENG-10	NAG	NAG	0.011888721	0.9538964	0.034214985
ENG-11	NAG	NAG	0.010914907	0.9588224	0.030262705
ENG-12	NAG	NAG	0.0099958135	0.9646686	0.025335534
ENG-13	NAG	NAG	0.009905454	0.9651496	0.024944915
ENG-14	CAG	NAG	0.049101535	0.76289773	0.18800077
ENG-15	NAG	NAG	0.0099662775	0.96482795	0.025205666
ENG-16	NAG	NAG	0.010785554	0.9596661	0.029548282
ENG-17	NAG	NAG	0.010857061	0.9592015	0.029941576
ENG-18	NAG	NAG	0.011714979	0.95451224	0.033772666
ENG-19	CAG	NAG	0.13662174	0.5362709	0.32710725
ENG-20	NAG	NAG	0.01261499	0.9504025	0.03698253
ENG-21	NAG	NAG	0.11903348	0.59123987	0.28972656
ENG-22	NAG	NAG	0.009989362	0.96468884	0.025321765
ENG-23	NAG	NAG	0.01259751	0.9503522	0.037050415
ENG-24	NAG	NAG	0.18853182	0.45456126	0.35690692
ENG-25	NAG	NAG	0.011043242	0.9580809	0.030875934
ENG-26	NAG	NAG	0.015521135	0.93879086	0.045688108
ENG-27	NAG	NAG	0.009994794	0.96465707	0.025348108
ENG-28	OAG	OAG	0.4767571	0.12255715	0.40068576
ENG-29	NAG	NAG	0.01135616	0.9565884	0.032055397
ENG-30	NAG	NAG	0.010201438	0.9634901	0.026308363
ENG-31	NAG	NAG	0.009831833	0.9655268	0.024641357
ENG-32	NAG	NAG	0.04875449	0.7285281	0.22271737
ENG-33	NAG	NAG	0.009837381	0.96549135	0.024671195
ENG-34	NAG	NAG	0.0103384815	0.9625347	0.027126724
ENG-35	NAG	NAG	0.055828802	0.82938427	0.11478699
ENG-36	NAG	NAG	0.010048137	0.9643696	0.025582211
ENG-37	NAG	OAG	0.8295413	0.06785996	0.10259874
ENG-38	NAG	NAG	0.009890021	0.96523726	0.024872852
ENG-39	NAG	NAG	0.021713542	0.91741794	0.060868494
ENG-40	NAG	NAG	0.010194932	0.9635294	0.026275592
ENG-41	NAG	NAG	0.09009296	0.5898547	0.32005233
ENG-42	CAG	OAG	0.4368164	0.18880387	0.3743797
ENG-43	NAG	NAG	0.011372227	0.9562839	0.032343764
ENG-44	CAG	NAG	0.020703029	0.9205935	0.05870349
ENG-45	NAG	NAG	0.011219646	0.95709485	0.031685594
ENG-46	NAG	NAG	0.010184937	0.96352917	0.026285892
ENG-47	CAG	NAG	0.010733668	0.95995075	0.02931556
ENG-48	NAG	NAG	0.059501417	0.6894501	0.25104845
ENG-49	NAG	NAG	0.0105167935	0.96146774	0.028015424
ENG-50	NAG	NAG	0.010116511	0.9639823	0.025901305
ENG-51	NAG	NAG	0.009887964	0.9652136	0.024898373
ENG-52	NAG	NAG	0.009871401	0.9652987	0.024829801
ENG-53	NAG	NAG	0.010505346	0.96142584	0.028068757
ENG-54	OAG	NAG	0.05552245	0.69634145	0.24813603
ENG-55	NAG	NAG	0.010023191	0.96445173	0.025525033
ENG-56	NAG	NAG	0.009991225	0.9647033	0.025305374
ENG-57	NAG	NAG	0.08601419	0.59012866	0.32385713
