ENG-0	NAG	a	Next part
ENG-1	NAG	a	Iii8mllllllm Mdxfvb8o90lplppi0005
ENG-2	NAG	a	🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this
ENG-3	NAG	a	What the fuck was this? I respect shwetabh and i have been watching his videos for quite a long time but this review was shit. Nobody wants to watch the movie for reality or blah. You dont watch movies for inspiration you would rather read books and biographies. Yes its true that some people are getting influenced and doing all shitty fuckery but just think. Anyone who takes this movie seriouslyis already a chutiya. And you dont go to theatre in india for some reality shit and if u really seek reality and logical scripts and characters without plotholes and all then you wouldnt be watching kabir singh. So I think you just made this for views, cause theres no need for this so called raw review. And one thing you acted like u forgot the movie name like seriously you know the whole story and you pronounced this overhyped mess wrongly? Oh common!!!😂
ENG-4	NAG	a	Concerned authorities should bring arundathi Roy and other these type of people before the law of the land.for giving anti national statements
ENG-5	NAG	a	It seems like these people want to be famous nothing more they don't care if people die by their hateful talks.
ENG-6	NAG	a	Best topic for Law Students !
ENG-7	CAG	a	Even when kabir singh was unaware that Preeti is having his son he was ready to accept other's baby and was ready to give his name though that was his baby but still he was ready to accept preeti even after thinking she has sex with other guy and feminists would not see this.
ENG-8	NAG	a	She is wrong .
ENG-9	NAG	a	6001733614
ENG-10	NAG	a	Hindi old muvi
ENG-11	NAG	a	rait
ENG-12	NAG	a	Very well said dude, totally agree.
ENG-13	NAG	a	👌👌👌👌👌right
ENG-14	CAG	a	@USER Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what the director and the story telling has to offer.... it's about understanding the Movie not Making all the things shown in the movie to the heart.
ENG-15	NAG	a	Our Role Model - Shwetabh > Kabir ❤️
ENG-16	NAG	a	@USER luck well i am from haryana. A small city called hisar. You can give me your number if u want but frankly i will not give you mine. I would like you as a friend. If you would like we can chat on facebook though
ENG-17	NAG	a	she best arbitrator in kamatipura & sonargachi area settlements
ENG-18	NAG	a	Yeah man **Fuck Bollywood** and become **mature** in real life!
ENG-19	CAG	a	It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂.. Thoko like
ENG-20	NAG	a	Sahi kaha 😂🤣 Logic level ---- Bollywood
ENG-21	NAG	a	its not good i think its all dimaghi keeda being a gay or lesbian..
ENG-22	NAG	a	giving the movie review of super 30?
ENG-23	NAG	a	Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point. As for now, we have two media one modi loving and 2nd is modi hating. But you are neutral
ENG-24	NAG	a	Why can't the Indian government take serious actions to those who talk against the nation or anyone who involved in instigating any sort of violence or disturbing the peace of the nation. Freedom of speech doesn't allow anyone to go anti-national. This bitch (Arundhati Roy) has already given such statements that are anti-national on numerous occasions but she is still living freely. It's high time for the government to pass a law against these bastards, it doesn't matter who you are.
ENG-25	NAG	a	Exactly. That was 100000000000x better than shitty kabir singh.
ENG-26	NAG	a	Chhichhore review
ENG-27	NAG	a	@USER ismail xc
ENG-28	OAG	a	feminism means equality not discrimination first you should learn about this go and study about feminism.
ENG-29	NAG	a	Like Baahubali.
ENG-30	NAG	a	will blockbuster Kabir singh.. Yes : Like No : Comment all the best shahid ji😍👇👇 From Rebal star prabhas Fans
ENG-31	NAG	a	Full support 💪🙌 bro Keep it up 👍
ENG-32	NAG	a	I literally cannot imagine a scenario where I'd be watching content from this channel, leave alone penning down a comment. I personally abhor this propaganda infused right-wing program and have reported it multiple times. It's in the best interest of the nation if it ceases to exist from the digital platforms and is confined to television only. Nevertheless, needed to get certain thoughts off of my chest so here goes: 1\. Stop broadcasting these staged debates that resemble poorly produced b-grade flicks at best. The background score during the intro, the participants who are more like the bickering neighborhood aunties than dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the public. 2\. Instead of all this nonsense, why the hell can't you show how the PM and Home Minister have successfully confused the nation and are literally behaving like clueless self-contradicting juveniles? 3\. With a few days left for 2020, our nation is yet to overcome the confines of religion. I had high hopes for my country and had started believing that we would achieve great heights in the field of Science and Technology that would put us in the big leagues, but no, we are all weighed down by this archaic concept (read religion) and have ensured that progress is a goal that is quite far from our reaches. A note to Republic TV: Instead of showing all this nonsense about anti-nationals, lutyens and what not please focus on key items that are deterring our nation (unemployment, poor economy,etc.). The mass does not care about the sub-standard reporting you do on these ridiculous theories. They want some concrete information that the news channels alone can provide.
ENG-33	NAG	a	I was waiting for it.... Very honest opinion
ENG-34	NAG	a	OMG 😱
ENG-35	NAG	a	Llovu
ENG-36	NAG	a	You are Right broo thanks
ENG-37	NAG	a	she is castigating our citizens to direspect our country and its law .who donkys gave her Booker prize .she is mocking and insulting our country and behaving like wicked and crafty woolf . shame on you .you wampnthi . q chutyapnti kar rahi ho . jai hnind .jay jagat .
ENG-38	NAG	a	Watch this amazing video __TIMEURL__
ENG-39	NAG	a	hats off brother
ENG-40	NAG	a	Too much spoiler 🙄🙄🙄 Change Title 😒😒
ENG-41	NAG	a	but can you catch them, no....if yes fial complian agaist them in court and punish then and put them in jail..but you cant//this is the fact...she is the danderous lady and you are helpless..court are reluktunt to punish them
ENG-42	CAG	a	By the way i myself being a 21st century modern girl, i did not watch four more shots as i found the trailer and the interviews of the cast very disturbing. Feminism is losing it’s real agenda i.e equality of gender, but becoming an advocate of all sort of sexual shit. Feminism is much more than sexual freedom, i request all my fellow girls to not get carried away by such ideas.
ENG-43	NAG	a	Ranu is a bad girl 👍👍😸😆😂
ENG-44	CAG	a	Looks like a ghost, real conjuring
ENG-45	NAG	a	The world needs more men like you
ENG-46	NAG	a	**Correct**
ENG-47	CAG	a	@USER Borade just saw 2 mins of the video you recommend and seems like you write your own dictionary. Sorry but I would be following other dictionaries like Cambridge and merriam webster.
ENG-48	NAG	a	The whole Bollywood premise is showing a life people dream about and not realism. It's a form of escapism from reality.
ENG-49	NAG	a	Salute to you sir,great thinking
ENG-50	NAG	a	Watch this song..Awesome <__URL__
ENG-51	NAG	a	Very very nice Bor
ENG-52	NAG	a	Very nice video
ENG-53	NAG	a	Epic movie
ENG-54	OAG	a	I had head ache during this movie and also post movie.. I simply hated the movie , completely disagreed and indigestible plot... & people were like how can u dislike the movie.. whereas I'm shocked what is there to be liked except the songs...
ENG-55	NAG	a	Super bro
ENG-56	NAG	a	Good job,,plz sub
ENG-57	NAG	a	Weren't you a liberal yourself?😂
ENG-58	NAG	a	That is why I like amir khan
ENG-59	NAG	a	Best film for sahid Kapoor
ENG-60	CAG	a	If you are a man then you are a fool of india..now women are fighting for men...do you know that?
ENG-61	NAG	a	This mentally ill Lady is a barking Street dog whose intentions to pull people's attention that she is alive
ENG-62	OAG	a	Ram Raja - she is a female dog - who can’t even keep a husband - married and separated twice because she likes to sleep around
ENG-63	NAG	a	Manjee.. Chakshu ji.. Nd.. Akhil ji... 😁 😂 🤣 🤣 🤣 fab.. 😁 😂 🤣
ENG-64	OAG	a	Totally agree with ur points bro nd kabir singh haters must have girts to counter these points if they can't then they must shut their fuckin mouths rather than vomiting diarrhoea against d movie.....if they doesn't want to watch d movie then who is forcing them.......
ENG-65	NAG	a	All of you r jealous of Ranu Mondal. .you have no education. .bt we support Ranu ji fr her talent ...we never interfare her personal issues. .we love her devine voice. .dats it..
ENG-66	CAG	a	hi pratik, hope you are doing well. Call it a coincidence or anything, I came across a designer liberal page criticising Kabir Singh for MISOGYNY. Frankly speaking I have seen only Arjun Reddy, and I was unable to find single trace of misogyny anywhere. If these people were so concerned about women, there will call out real tharkis in our country. But anyway they like Veere Di Wedding and 4 More shots please. So better neglect them and let them whine like babies. Loved the couple Arjun and Deepthi, Kabir and Priti👩‍❤️‍👨👩‍❤️‍👨. Movie is top class. Keep up the good work 🙏😇
ENG-67	NAG	a	Kabir singh one of the best love story. Dil se jud gayi movie
ENG-68	NAG	a	Shadaa by Diljit Dosanjh Review Please 🙏 🙏
ENG-69	NAG	a	col
ENG-70	NAG	a	You are talking real sense bro..
ENG-71	OAG	a	One word for u bhaad me jaa chudail
ENG-72	CAG	a	Wow...pratik sir u r analysis really superb...hope more people like u exists in bollywood critics...fk those paid critics nd pseudo femmies nd commies....
ENG-73	NAG	a	Mensutra is the leader of youth....Thnx for your contribution to our Indian Society
ENG-74	CAG	a	Arundhati Roy has biggest bowls ,,,,,,,
ENG-75	NAG	a	Love from bd💖💖🇧🇩
