id	label	Sub-task B_preds	GEN_probs	NGEN_probs
ENG-0	NGEN	NGEN	0.00088335905	0.9991166
ENG-1	NGEN	NGEN	0.0015273989	0.9984727
ENG-2	NGEN	NGEN	0.00082718185	0.9991728
ENG-3	NGEN	NGEN	0.0024710612	0.997529
ENG-4	NGEN	NGEN	0.0011617123	0.99883837
ENG-5	NGEN	NGEN	0.0014250542	0.99857503
ENG-6	NGEN	NGEN	0.0011256546	0.99887437
ENG-7	NGEN	NGEN	0.12150212	0.8784979
ENG-8	NGEN	NGEN	0.0010458628	0.9989541
ENG-9	NGEN	NGEN	0.0011425003	0.99885744
ENG-10	NGEN	NGEN	0.0016956967	0.99830437
ENG-11	NGEN	NGEN	0.0012097236	0.99879026
ENG-12	NGEN	NGEN	0.0007850792	0.99921495
ENG-13	NGEN	NGEN	0.009776224	0.9902238
ENG-14	NGEN	NGEN	0.000873043	0.99912703
ENG-15	NGEN	NGEN	0.00081939047	0.9991807
ENG-16	NGEN	NGEN	0.001155517	0.99884456
ENG-17	NGEN	NGEN	0.0011257507	0.99887437
ENG-18	NGEN	NGEN	0.0010784504	0.9989215
ENG-19	NGEN	NGEN	0.0008506608	0.99914944
ENG-20	NGEN	NGEN	0.00086901634	0.9991311
ENG-21	GEN	GEN	0.99720865	0.0027912823
ENG-22	NGEN	NGEN	0.00084082206	0.9991592
ENG-23	NGEN	NGEN	0.0009105185	0.9990894
ENG-24	GEN	GEN	0.9979255	0.0020744402
ENG-25	NGEN	NGEN	0.0008731846	0.9991268
ENG-26	NGEN	NGEN	0.001471037	0.9985291
ENG-27	NGEN	NGEN	0.00094650325	0.9990535
ENG-28	NGEN	NGEN	0.0011700736	0.9988298
ENG-29	NGEN	NGEN	0.0009788441	0.9990213
ENG-30	NGEN	NGEN	0.00078635645	0.9992135
ENG-31	NGEN	NGEN	0.00088245433	0.99911755
ENG-32	NGEN	NGEN	0.0008913633	0.99910873
ENG-33	NGEN	NGEN	0.0008841117	0.9991159
ENG-34	NGEN	NGEN	0.002295514	0.9977045
ENG-35	NGEN	NGEN	0.0013301809	0.9986698
ENG-36	NGEN	NGEN	0.00084200286	0.999158
ENG-37	NGEN	NGEN	0.0035228257	0.9964771
ENG-38	NGEN	NGEN	0.000832271	0.9991678
ENG-39	NGEN	NGEN	0.00092280784	0.99907726
ENG-40	NGEN	NGEN	0.0008161376	0.9991838
ENG-41	NGEN	NGEN	0.010538239	0.9894618
ENG-42	NGEN	NGEN	0.0044048615	0.99559516
ENG-43	NGEN	NGEN	0.0017524688	0.9982475
ENG-44	NGEN	NGEN	0.0011811156	0.9988189
ENG-45	NGEN	NGEN	0.002162132	0.9978377
ENG-46	NGEN	NGEN	0.0010654805	0.9989346
ENG-47	NGEN	NGEN	0.0016685049	0.9983315
ENG-48	NGEN	NGEN	0.00088699785	0.999113
ENG-49	NGEN	NGEN	0.000771148	0.9992288
ENG-50	NGEN	NGEN	0.00081254187	0.99918735
ENG-51	NGEN	NGEN	0.00089167233	0.99910825
ENG-52	NGEN	NGEN	0.0008478043	0.9991523
ENG-53	NGEN	NGEN	0.0009888639	0.9990113
ENG-54	NGEN	NGEN	0.00094907073	0.99905086
ENG-55	NGEN	NGEN	0.0009065295	0.9990935
ENG-56	NGEN	NGEN	0.0008471246	0.999153
ENG-57	NGEN	NGEN	0.001429728	0.99857026
ENG-58	NGEN	NGEN	0.000986447	0.99901366
ENG-59	NGEN	NGEN	0.0009396464	0.99906033
ENG-60	NGEN	NGEN	0.0011570035	0.9988429
ENG-61	GEN	GEN	0.9941969	0.005803169
ENG-62	GEN	GEN	0.99610656	0.0038932555
ENG-63	NGEN	NGEN	0.0011010175	0.9988991
ENG-64	NGEN	NGEN	0.0012324309	0.9987677
ENG-65	NGEN	NGEN	0.0013276234	0.9986724
ENG-66	NGEN	NGEN	0.00092878554	0.9990713
ENG-67	NGEN	NGEN	0.0008351038	0.99916494
