id	label	Sub-task B_preds	GEN_probs	NGEN_probs
ENG-0	NGEN	NGEN	0.0047859964	0.99521405
ENG-1	NGEN	NGEN	0.011682947	0.98831713
ENG-2	NGEN	NGEN	0.0046481946	0.9953519
ENG-3	NGEN	NGEN	0.036247697	0.9637524
ENG-4	NGEN	NGEN	0.069244854	0.9307551
ENG-5	NGEN	NGEN	0.0051162164	0.9948838
ENG-6	NGEN	NGEN	0.005784237	0.99421585
ENG-7	NGEN	NGEN	0.28644675	0.71355325
ENG-8	NGEN	NGEN	0.0041289516	0.995871
ENG-9	NGEN	NGEN	0.0050040805	0.994996
ENG-10	NGEN	NGEN	0.010956185	0.98904383
ENG-11	NGEN	NGEN	0.0043171	0.995683
ENG-12	NGEN	NGEN	0.004889919	0.9951101
ENG-13	NGEN	NGEN	0.00517534	0.9948247
ENG-14	NGEN	NGEN	0.0040509035	0.99594915
ENG-15	NGEN	NGEN	0.004408911	0.99559116
ENG-16	NGEN	NGEN	0.004586556	0.99541336
ENG-17	NGEN	NGEN	0.009772683	0.99022734
ENG-18	NGEN	NGEN	0.0064402865	0.99355966
ENG-19	NGEN	NGEN	0.008807598	0.9911925
ENG-20	NGEN	NGEN	0.005179703	0.99482024
ENG-21	GEN	GEN	0.8612471	0.1387529
ENG-22	NGEN	NGEN	0.004205524	0.9957946
ENG-23	NGEN	NGEN	0.007066037	0.99293405
ENG-24	GEN	GEN	0.87120867	0.12879136
ENG-25	NGEN	NGEN	0.0051705474	0.9948295
ENG-26	NGEN	NGEN	0.00614288	0.993857
ENG-27	NGEN	NGEN	0.0051642223	0.9948357
ENG-28	NGEN	NGEN	0.009896177	0.9901039
ENG-29	NGEN	NGEN	0.004913388	0.9950866
ENG-30	NGEN	NGEN	0.0045477673	0.9954523
ENG-31	NGEN	NGEN	0.006777375	0.99322265
ENG-32	NGEN	NGEN	0.0061367555	0.99386317
ENG-33	NGEN	NGEN	0.0043595657	0.9956405
ENG-34	NGEN	NGEN	0.0072068144	0.9927932
ENG-35	NGEN	NGEN	0.011689901	0.98831004
ENG-36	NGEN	NGEN	0.006842475	0.99315757
ENG-37	NGEN	NGEN	0.03151815	0.96848184
ENG-38	NGEN	NGEN	0.005500902	0.99449915
ENG-39	NGEN	NGEN	0.0061012637	0.99389875
ENG-40	NGEN	NGEN	0.0060902066	0.99390984
ENG-41	NGEN	NGEN	0.022922212	0.97707784
ENG-42	NGEN	NGEN	0.061621167	0.93837875
ENG-43	NGEN	NGEN	0.08862898	0.911371
ENG-44	NGEN	NGEN	0.0047433134	0.9952567
ENG-45	NGEN	NGEN	0.0045979884	0.995402
ENG-46	NGEN	NGEN	0.0059609115	0.994039
ENG-47	NGEN	NGEN	0.006598486	0.99340147
ENG-48	NGEN	NGEN	0.006162672	0.99383736
ENG-49	NGEN	NGEN	0.0057870974	0.994213
ENG-50	NGEN	NGEN	0.004589411	0.9954105
ENG-51	NGEN	NGEN	0.0061164633	0.99388355
ENG-52	NGEN	NGEN	0.005033857	0.9949661
ENG-53	NGEN	NGEN	0.004480413	0.99551946
ENG-54	NGEN	NGEN	0.0042941836	0.9957058
ENG-55	NGEN	NGEN	0.004674605	0.9953253
ENG-56	NGEN	NGEN	0.00418174	0.9958183
ENG-57	NGEN	NGEN	0.0062959893	0.99370396
ENG-58	NGEN	NGEN	0.006910038	0.99309003
ENG-59	NGEN	NGEN	0.0055502146	0.9944498
ENG-60	NGEN	NGEN	0.037539646	0.9624604
ENG-61	GEN	GEN	0.95333266	0.046667345
ENG-62	GEN	GEN	0.9332459	0.06675411
ENG-63	NGEN	NGEN	0.008962642	0.99103725
ENG-64	NGEN	NGEN	0.09875055	0.9012494
ENG-65	NGEN	NGEN	0.029251315	0.9707487
ENG-66	NGEN	NGEN	0.01390651	0.98609346
ENG-67	NGEN	NGEN	0.005397626	0.9946025
ENG-68	NGEN	NGEN	0.007114753	0.9928853
ENG-69	NGEN	NGEN	0.005631309	0.99436873
ENG-70	NGEN	NGEN	0.0043982062	0.99560183
ENG-71	GEN	GEN	0.893496	0.10650397
ENG-72	NGEN	NGEN	0.017829927	0.98217016
ENG-73	NGEN	NGEN	0.0052150805	0.9947849
ENG-74	NGEN	NGEN	0.06577621	0.9342239
ENG-75	NGEN	NGEN	0.005138622	0.99486125
ENG-76	NGEN	NGEN	0.004363536	0.99563646
ENG-77	NGEN	NGEN	0.004618684	0.99538136
ENG-78	NGEN	NGEN	0.004148289	0.9958518
ENG-79	NGEN	NGEN	0.0042647542	0.9957352
ENG-80	NGEN	NGEN	0.0052694837	0.9947306
ENG-81	NGEN	NGEN	0.010885525	0.9891146
ENG-82	GEN	GEN	0.6878309	0.31216908
ENG-83	NGEN	NGEN	0.014091451	0.9859086
ENG-84	NGEN	NGEN	0.007417413	0.99258256
ENG-85	GEN	GEN	0.9529325	0.047067475
ENG-86	NGEN	NGEN	0.014106187	0.9858939
ENG-87	NGEN	NGEN	0.006212061	0.99378806
ENG-88	NGEN	NGEN	0.0444065	0.95559347
ENG-89	NGEN	NGEN	0.0038587605	0.99614125
ENG-90	NGEN	NGEN	0.011077787	0.9889222
ENG-91	NGEN	NGEN	0.0048073316	0.99519265
ENG-92	NGEN	NGEN	0.02915177	0.97084826
ENG-93	NGEN	NGEN	0.0038897002	0.99611014
ENG-94	NGEN	NGEN	0.0057638376	0.99423623
ENG-95	NGEN	NGEN	0.07595514	0.9240449
ENG-96	NGEN	NGEN	0.03425397	0.965746
ENG-97	NGEN	NGEN	0.00461129	0.9953887
ENG-98	NGEN	GEN	0.5464631	0.45353696
ENG-99	NGEN	NGEN	0.00444671	0.9955534
ENG-100	NGEN	NGEN	0.009927053	0.99007297
ENG-101	NGEN	NGEN	0.07262455	0.92737544
ENG-102	NGEN	NGEN	0.032417864	0.96758217
ENG-103	NGEN	NGEN	0.0047951657	0.9952048
ENG-104	NGEN	NGEN	0.0069370833	0.99306285
ENG-105	NGEN	NGEN	0.0035860005	0.99641395
ENG-106	NGEN	NGEN	0.017575452	0.9824246
ENG-107	NGEN	NGEN	0.004323604	0.99567634
ENG-108	NGEN	NGEN	0.0061468766	0.993853
ENG-109	NGEN	NGEN	0.006431209	0.99356866
ENG-110	NGEN	NGEN	0.0061974744	0.99380255
ENG-111	NGEN	NGEN	0.004641258	0.99535877
ENG-112	NGEN	NGEN	0.0047229356	0.99527717
ENG-113	NGEN	NGEN	0.006191765	0.9938082
ENG-114	NGEN	NGEN	0.0058764596	0.9941234
ENG-115	NGEN	NGEN	0.031063734	0.9689362
ENG-116	NGEN	NGEN	0.017908163	0.98209184
ENG-117	GEN	GEN	0.93921757	0.06078245
ENG-118	NGEN	NGEN	0.014406365	0.98559356
ENG-119	NGEN	NGEN	0.004290569	0.99570936
ENG-120	NGEN	NGEN	0.0046866597	0.9953132
ENG-121	NGEN	NGEN	0.0068302928	0.9931696
ENG-122	NGEN	NGEN	0.009891719	0.99010813
ENG-123	NGEN	NGEN	0.030718494	0.96928155
ENG-124	NGEN	NGEN	0.004844357	0.99515563
ENG-125	NGEN	NGEN	0.0042814175	0.9957186
ENG-126	NGEN	NGEN	0.022424253	0.9775758
ENG-127	NGEN	NGEN	0.0044465954	0.9955534
ENG-128	NGEN	NGEN	0.00552744	0.99447256
ENG-129	NGEN	NGEN	0.005218777	0.9947813
ENG-130	NGEN	NGEN	0.007920513	0.9920793
ENG-131	NGEN	NGEN	0.2855641	0.71443594
ENG-132	NGEN	NGEN	0.032455225	0.9675447
ENG-133	NGEN	NGEN	0.0060847146	0.9939153
ENG-134	NGEN	NGEN	0.0046020597	0.9953979
ENG-135	NGEN	NGEN	0.008878895	0.9911211
ENG-136	GEN	GEN	0.64622253	0.35377744
ENG-137	NGEN	NGEN	0.014751695	0.9852483
ENG-138	NGEN	NGEN	0.005793597	0.99420637
ENG-139	NGEN	NGEN	0.008671586	0.99132836
ENG-140	GEN	NGEN	0.099965125	0.9000349
ENG-141	NGEN	NGEN	0.004372475	0.99562746
ENG-142	NGEN	NGEN	0.004896779	0.99510324
ENG-143	NGEN	NGEN	0.08489397	0.9151061
ENG-144	NGEN	NGEN	0.15108278	0.84891725
ENG-145	NGEN	NGEN	0.16270638	0.8372937
ENG-146	NGEN	NGEN	0.035773724	0.9642263
ENG-147	NGEN	NGEN	0.04571619	0.9542838
ENG-148	NGEN	NGEN	0.0045018885	0.9954981
ENG-149	NGEN	NGEN	0.043187525	0.9568125
ENG-150	NGEN	NGEN	0.004442177	0.9955579
ENG-151	NGEN	NGEN	0.43115476	0.5688453
ENG-152	NGEN	NGEN	0.023190135	0.97680986
ENG-153	GEN	NGEN	0.037906412	0.96209353
ENG-154	NGEN	NGEN	0.070168845	0.9298312
ENG-155	NGEN	NGEN	0.005944681	0.9940554
ENG-156	NGEN	NGEN	0.004412537	0.9955876
ENG-157	NGEN	NGEN	0.00455831	0.9954416
ENG-158	NGEN	NGEN	0.0055420795	0.9944579
ENG-159	NGEN	NGEN	0.0053828754	0.9946172
ENG-160	NGEN	NGEN	0.004989432	0.99501073
ENG-161	NGEN	NGEN	0.006015231	0.99398476
ENG-162	NGEN	NGEN	0.010861928	0.9891382
ENG-163	NGEN	NGEN	0.004546952	0.995453
ENG-164	NGEN	NGEN	0.0046110833	0.9953889
ENG-165	NGEN	NGEN	0.0063415943	0.9936585
ENG-166	NGEN	NGEN	0.009466563	0.9905334
ENG-167	NGEN	NGEN	0.041610546	0.9583894
ENG-168	NGEN	NGEN	0.015268142	0.9847319
ENG-169	NGEN	NGEN	0.008278179	0.99172175
ENG-170	NGEN	NGEN	0.030829586	0.9691704
ENG-171	NGEN	NGEN	0.00461949	0.99538064
ENG-172	NGEN	NGEN	0.0051028356	0.99489707
ENG-173	NGEN	NGEN	0.0049574403	0.9950425
ENG-174	NGEN	NGEN	0.005084561	0.9949156
ENG-175	NGEN	NGEN	0.012680933	0.987319
ENG-176	NGEN	NGEN	0.0077068084	0.9922932
ENG-177	NGEN	NGEN	0.0047904486	0.9952095
ENG-178	NGEN	NGEN	0.007792747	0.9922073
ENG-179	NGEN	NGEN	0.1019169	0.89808315
ENG-180	NGEN	NGEN	0.004741479	0.9952584
ENG-181	NGEN	NGEN	0.0046945144	0.9953056
ENG-182	NGEN	NGEN	0.005694232	0.9943059
ENG-183	NGEN	NGEN	0.00447639	0.9955235
ENG-184	NGEN	NGEN	0.0060194256	0.9939807
ENG-185	NGEN	NGEN	0.03999544	0.96000457
ENG-186	NGEN	NGEN	0.004008972	0.99599093
ENG-187	NGEN	NGEN	0.004525018	0.99547505
ENG-188	NGEN	NGEN	0.00559066	0.99440926
ENG-189	GEN	GEN	0.96722096	0.032779027
ENG-190	NGEN	NGEN	0.005034981	0.99496514
ENG-191	NGEN	NGEN	0.00470002	0.99529994
ENG-192	NGEN	NGEN	0.0045768707	0.9954231
ENG-193	NGEN	NGEN	0.0046316143	0.9953683
ENG-194	NGEN	NGEN	0.005851847	0.994148
ENG-195	NGEN	NGEN	0.004597664	0.99540246
ENG-196	NGEN	NGEN	0.00578534	0.99421465
ENG-197	GEN	GEN	0.6356713	0.36432868
ENG-198	NGEN	NGEN	0.004390451	0.99560964
ENG-199	NGEN	NGEN	0.0038398586	0.99616027
ENG-200	NGEN	NGEN	0.38853863	0.61146134
ENG-201	NGEN	NGEN	0.004069775	0.99593014
ENG-202	NGEN	NGEN	0.0050326427	0.9949673
ENG-203	NGEN	NGEN	0.032201957	0.967798
ENG-204	NGEN	NGEN	0.04836922	0.9516308
ENG-205	NGEN	NGEN	0.060278244	0.93972176
ENG-206	NGEN	GEN	0.6605842	0.3394158
ENG-207	NGEN	NGEN	0.004844357	0.99515563
ENG-208	NGEN	NGEN	0.0055250213	0.99447495
ENG-209	NGEN	NGEN	0.0071024382	0.99289757
ENG-210	NGEN	NGEN	0.0048521524	0.9951478
ENG-211	NGEN	NGEN	0.012006788	0.9879932
ENG-212	NGEN	NGEN	0.4259486	0.5740514
ENG-213	NGEN	NGEN	0.0070364354	0.9929636
ENG-214	NGEN	NGEN	0.0057838783	0.9942161
ENG-215	NGEN	NGEN	0.00904391	0.9909562
ENG-216	NGEN	NGEN	0.0049139103	0.99508613
ENG-217	NGEN	NGEN	0.003559002	0.99644107
ENG-218	NGEN	NGEN	0.0056165275	0.99438345
ENG-219	NGEN	NGEN	0.00682035	0.99317956
ENG-220	NGEN	NGEN	0.006075026	0.99392503
ENG-221	NGEN	NGEN	0.0060169175	0.9939831
ENG-222	NGEN	NGEN	0.30132538	0.6986746
