id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
ENG-0	NAG-NGEN	NAG-NGEN	0.0004899883	0.000597105	0.0013235155	0.99506694	0.0005425373	0.0019796288
ENG-1	NAG-NGEN	NAG-NGEN	0.0008624012	0.00073585846	0.0028884565	0.9931684	0.000877098	0.001467702
ENG-2	NAG-NGEN	NAG-NGEN	0.00050145236	0.00051013	0.0013362139	0.99558663	0.00048041003	0.0015853517
ENG-3	NAG-NGEN	CAG-NGEN	0.0059831804	0.1245051	0.008368047	0.37886122	0.004414368	0.4778681
ENG-4	NAG-NGEN	NAG-NGEN	0.001222664	0.0023076192	0.0045353584	0.96965206	0.0019081847	0.020374276
ENG-5	NAG-NGEN	NAG-NGEN	0.0010558292	0.009231229	0.005455775	0.49342206	0.0032474194	0.48758784
ENG-6	NAG-NGEN	NAG-NGEN	0.0006120994	0.0010226067	0.0009848949	0.9928786	0.0004616986	0.004040182
ENG-7	CAG-NGEN	CAG-NGEN	0.009145819	0.058380794	0.050392393	0.21609041	0.031042796	0.63494784
ENG-8	NAG-NGEN	NAG-NGEN	0.0027865546	0.034426164	0.0032333678	0.7721397	0.0021488443	0.1852652
ENG-9	NAG-NGEN	NAG-NGEN	0.00072615093	0.00083993684	0.0018016897	0.9946215	0.0005803183	0.0014303854
ENG-10	NAG-NGEN	NAG-NGEN	0.0012089192	0.0022442169	0.0021063767	0.990281	0.000819226	0.0033403006
ENG-11	NAG-NGEN	NAG-NGEN	0.0010625819	0.0011531358	0.0016622592	0.99384207	0.00059913594	0.0016806517
ENG-12	NAG-NGEN	NAG-NGEN	0.0004906013	0.000522785	0.0013588103	0.99527955	0.00046831364	0.0018802474
ENG-13	NAG-NGEN	NAG-NGEN	0.0061117634	0.003215071	0.0030606226	0.9821216	0.001585174	0.0039060134
ENG-14	CAG-NGEN	CAG-NGEN	0.0009076056	0.009427445	0.0029795803	0.46191093	0.0027028595	0.5220715
ENG-15	NAG-NGEN	NAG-NGEN	0.00068585563	0.0006055082	0.0012475841	0.9955681	0.00046529356	0.001427544
ENG-16	NAG-NGEN	NAG-NGEN	0.00031948948	0.00066347973	0.0013858397	0.9913686	0.00048750467	0.005775211
ENG-17	NAG-NGEN	NAG-NGEN	0.00072098733	0.0016909007	0.0018963357	0.9880165	0.0008347849	0.006840338
ENG-18	NAG-NGEN	NAG-NGEN	0.05324983	0.15486144	0.03232756	0.6275469	0.012874758	0.11913952
ENG-19	CAG-NGEN	OAG-NGEN	0.017870076	0.68208545	0.056771923	0.047505476	0.01974026	0.17602673
ENG-20	NAG-NGEN	NAG-NGEN	0.00041502042	0.0005408042	0.00084439514	0.9948871	0.00038356494	0.0029290617
ENG-21	NAG-GEN	NAG-GEN	0.049522784	0.010220852	0.8187984	0.0311002	0.08164467	0.008713047
ENG-22	NAG-NGEN	NAG-NGEN	0.00040439403	0.00051183806	0.000941259	0.99561846	0.00039790015	0.002126351
ENG-23	NAG-NGEN	NAG-NGEN	0.00033713807	0.00067310716	0.0015781187	0.9906191	0.0006482265	0.006144286
ENG-24	NAG-GEN	NAG-GEN	0.21070625	0.03100205	0.59682524	0.0699514	0.08125471	0.010260258
ENG-25	NAG-NGEN	NAG-NGEN	0.00056483643	0.00072372635	0.0015263265	0.9946414	0.0005479592	0.0019959374
