id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
0	NAG	NAG	0.0012061893	0.9970337	0.0017600636
1	NAG	NAG	0.0014579555	0.99683094	0.0017110177
2	NAG	NAG	0.00088184816	0.9961769	0.002941192
3	NAG	OAG	0.4950549	0.021895314	0.48304987
4	NAG	NAG	0.0019108845	0.9907178	0.0073710973
5	NAG	NAG	0.0040440117	0.9041041	0.091851816
6	NAG	NAG	0.0011626411	0.99667436	0.0021629795
7	CAG	CAG	0.029899888	0.053010922	0.9170893
8	NAG	NAG	0.0013840982	0.99396294	0.0046530557
9	NAG	NAG	0.0020606313	0.995924	0.0020153343
10	NAG	NAG	0.0019478413	0.99444556	0.003606687
11	NAG	NAG	0.0017102582	0.99596864	0.0023212044
12	NAG	NAG	0.0010061158	0.99724627	0.0017475695
13	NAG	NAG	0.0031322606	0.993894	0.0029736147
14	CAG	CAG	0.028122237	0.034904543	0.93697315
15	NAG	NAG	0.0013002536	0.99689776	0.0018019398
16	NAG	NAG	0.0010422027	0.995701	0.0032566367
17	NAG	NAG	0.0023833609	0.9907684	0.0068482524
18	NAG	NAG	0.0012463533	0.99624956	0.0025040277
19	CAG	CAG	0.0959499	0.020314531	0.8837356
20	NAG	NAG	0.0010076315	0.99748355	0.0015086975
21	NAG	NAG	0.0011889633	0.9940985	0.004712529
22	NAG	NAG	0.0010666457	0.99656695	0.002366256
23	NAG	NAG	0.0011562335	0.99437535	0.0044684843
24	NAG	NAG	0.012924168	0.9413071	0.045768667
25	NAG	NAG	0.0013256902	0.9957205	0.0029539187
26	NAG	NAG	0.0012874211	0.9969643	0.0017482031
27	NAG	NAG	0.0016862692	0.9963282	0.001985508
28	OAG	OAG	0.8140595	0.017567266	0.1683733
29	NAG	NAG	0.0018513899	0.9904734	0.007675181
30	NAG	NAG	0.00095103914	0.9953422	0.0037067777
31	NAG	NAG	0.0011210004	0.9975697	0.0013094747
32	NAG	NAG	0.0031663717	0.9819816	0.014852004
33	NAG	NAG	0.0009611949	0.9965881	0.0024506717
34	NAG	NAG	0.0013795688	0.99737036	0.0012502485
35	NAG	NAG	0.0015514224	0.99690014	0.0015483332
36	NAG	NAG	0.0011106883	0.9974669	0.0014224248
37	NAG	OAG	0.9017078	0.054250848	0.044041265
38	NAG	NAG	0.0012956638	0.99623936	0.0024649687
39	NAG	NAG	0.0015366297	0.9961994	0.0022638363
40	NAG	NAG	0.0010435493	0.99751544	0.0014407636
41	NAG	NAG	0.0037942145	0.9648188	0.031386912
42	CAG	CAG	0.046193425	0.048110686	0.90569586
43	NAG	NAG	0.0013347499	0.99664134	0.0020239959
44	CAG	CAG	0.07178863	0.02571663	0.90249467
45	NAG	NAG	0.0018630674	0.992151	0.005986097
46	NAG	NAG	0.0022735258	0.9952852	0.0024412607
47	CAG	CAG	0.027657887	0.04155995	0.930782
48	NAG	NAG	0.002141354	0.9782952	0.019563481
49	NAG	NAG	0.0011601204	0.99717206	0.001667898
50	NAG	NAG	0.0009370119	0.9973333	0.0017295405
51	NAG	NAG	0.0010661723	0.9976843	0.0012493873
52	NAG	NAG	0.0010754426	0.99748355	0.0014410446
53	NAG	NAG	0.0012665215	0.9956937	0.00303995
54	OAG	CAG	0.10962124	0.012730407	0.8776485
55	NAG	NAG	0.00118946	0.99741125	0.0013990552
56	NAG	NAG	0.0011069296	0.9975777	0.001315181
57	NAG	NAG	0.0018888111	0.9956804	0.0024308818
58	NAG	NAG	0.0009320717	0.99574375	0.0033241508
59	NAG	NAG	0.002178886	0.99403805	0.0037830933
60	CAG	CAG	0.086951755	0.016085086	0.8969633
61	NAG	NAG	0.003757392	0.98335755	0.012885076
62	OAG	OAG	0.8821117	0.037282765	0.08060555
63	NAG	NAG	0.0018021169	0.9960947	0.0021030458
64	OAG	OAG	0.92533803	0.017698102	0.0569638
65	NAG	NAG	0.0059605534	0.96992767	0.024111804
66	CAG	CAG	0.15398517	0.053810097	0.79220474
67	NAG	NAG	0.0016493336	0.99408644	0.0042640995
68	NAG	NAG	0.0013769243	0.99669194	0.0019311538
69	NAG	NAG	0.0016990945	0.99654293	0.0017581034
70	NAG	NAG	0.000982797	0.997476	0.0015413382
71	OAG	OAG	0.92531157	0.022687338	0.05200097
72	CAG	CAG	0.018414129	0.0542866	0.9272992
73	NAG	NAG	0.0010888287	0.99526554	0.003645551
74	CAG	CAG	0.057594888	0.28284362	0.6595615
75	NAG	NAG	0.0015669327	0.9968602	0.0015728996
76	NAG	NAG	0.0015089795	0.99704653	0.001444501
77	NAG	NAG	0.0012075889	0.9970746	0.0017179323
78	NAG	NAG	0.0010332484	0.99550354	0.003463278
79	NAG	NAG	0.0011562075	0.99742126	0.001422667
80	NAG	NAG	0.0013848812	0.99056715	0.008047929
81	NAG	NAG	0.0015271571	0.99661374	0.0018591334
82	NAG	NAG	0.0014043535	0.9916144	0.0069811777
83	NAG	NAG	0.0015122677	0.9964422	0.002045545
84	NAG	NAG	0.0012893797	0.99690205	0.001808449
85	NAG	NAG	0.0032469332	0.97817695	0.018576184
86	NAG	NAG	0.0014941149	0.99146	0.0070458297
87	NAG	NAG	0.0044474164	0.9907469	0.0048056976
88	NAG	NAG	0.0025868644	0.9619224	0.035490658
89	NAG	NAG	0.0010951228	0.997387	0.0015176893
90	NAG	NAG	0.0009985252	0.9959769	0.0030246624
91	NAG	NAG	0.00088860653	0.99679625	0.0023150872
92	CAG	CAG	0.14216556	0.026951712	0.8308827
93	NAG	NAG	0.0013101061	0.99740934	0.0012805584
94	NAG	NAG	0.001748003	0.9855192	0.012732732
95	NAG	NAG	0.0015058873	0.99643797	0.0020562103
96	OAG	OAG	0.9339729	0.023945399	0.04208173
97	NAG	NAG	0.0010614406	0.9974232	0.0015155076
98	NAG	NAG	0.0014569692	0.9880745	0.0104687065
99	NAG	NAG	0.0018430556	0.9959914	0.0021654563
100	NAG	NAG	0.0016848859	0.9869107	0.0114045385
101	NAG	NAG	0.0012169777	0.9944664	0.004316571
102	NAG	NAG	0.0017556496	0.98798	0.010264256
103	NAG	NAG	0.002008112	0.9948169	0.0031748835
104	NAG	NAG	0.0013344914	0.9965772	0.0020882923
105	NAG	NAG	0.0011403532	0.99698144	0.0018783798
106	NAG	NAG	0.002291258	0.95529383	0.04241508
107	NAG	NAG	0.0015280385	0.9968894	0.0015823971
108	NAG	NAG	0.0009920953	0.9976472	0.0013607392
109	NAG	NAG	0.00091488456	0.99458474	0.00450027
110	NAG	NAG	0.0016141473	0.99666864	0.001717092
111	NAG	NAG	0.0014556533	0.99385655	0.0046877344
112	NAG	NAG	0.00087173475	0.99526954	0.0038587695
113	OAG	OAG	0.9301986	0.030202942	0.039598282
114	NAG	NAG	0.0010785903	0.9971288	0.0017927832
115	OAG	OAG	0.8990646	0.026642453	0.07429284
116	NAG	NAG	0.0012071904	0.9952235	0.003569391
117	NAG	NAG	0.0034018839	0.9883445	0.00825349
118	NAG	NAG	0.0013490733	0.99446046	0.0041903867
119	NAG	NAG	0.0014098595	0.99566686	0.0029232753
120	NAG	NAG	0.0010284274	0.9960016	0.0029700154
121	NAG	NAG	0.0008899338	0.9951666	0.003943519
122	NAG	NAG	0.001149882	0.99753636	0.001313519
123	NAG	NAG	0.0051414357	0.85847974	0.13637877
124	NAG	NAG	0.0013622539	0.99681956	0.0018180707
125	NAG	NAG	0.0007920702	0.99586797	0.0033400266
126	OAG	OAG	0.8151403	0.02882793	0.15603177
127	NAG	NAG	0.0010267721	0.9975421	0.0014309871
128	NAG	NAG	0.0012600651	0.99730045	0.0014393072
129	NAG	CAG	0.13706324	0.03187033	0.83106637
130	NAG	NAG	0.0017905021	0.9845734	0.013636213
131	OAG	OAG	0.9209509	0.014274726	0.06477451
132	OAG	OAG	0.8851328	0.019926216	0.094941005
