id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
0	NAG	NAG	0.0021042032	0.9968193	0.0010764851
1	NAG	NAG	0.002231629	0.99657506	0.0011931172
2	NAG	NAG	0.0021850716	0.9965513	0.0012639345
3	NAG	OAG	0.80943805	0.047689293	0.14287268
4	NAG	NAG	0.027042389	0.8377124	0.13524522
5	NAG	CAG	0.26919812	0.15578753	0.5750144
6	NAG	NAG	0.002101455	0.9968051	0.0010933174
7	CAG	CAG	0.3343212	0.15728153	0.5083973
8	NAG	NAG	0.0075687016	0.97815245	0.014278851
9	NAG	NAG	0.0021219177	0.9968046	0.0010736309
10	NAG	NAG	0.0021063206	0.9968131	0.001080344
11	NAG	NAG	0.0041167117	0.9916577	0.004225561
12	NAG	NAG	0.002123934	0.99673945	0.0011365277
13	NAG	NAG	0.0021629857	0.9967095	0.0011274756
14	CAG	NAG	0.022152897	0.8639217	0.113925345
15	NAG	NAG	0.00221807	0.99661875	0.0011631957
16	NAG	NAG	0.007518519	0.9750803	0.017401068
17	NAG	NAG	0.005234261	0.98711306	0.007652648
18	NAG	NAG	0.015392647	0.9348085	0.049798917
19	CAG	OAG	0.598315	0.124486074	0.2771989
20	NAG	NAG	0.00233293	0.99610376	0.0015631684
21	NAG	NAG	0.017433025	0.91701144	0.0655556
22	NAG	NAG	0.002091571	0.9968051	0.0011035467
23	NAG	NAG	0.00567395	0.98356646	0.010759746
24	NAG	OAG	0.5503508	0.10071143	0.3489377
25	NAG	NAG	0.010567056	0.96078604	0.028646776
26	NAG	NAG	0.0021524818	0.9965917	0.0012558219
27	NAG	NAG	0.0021245976	0.9967252	0.0011503547
28	OAG	CAG	0.2558581	0.20859359	0.5355484
29	NAG	NAG	0.0021329639	0.99670285	0.0011640524
30	NAG	NAG	0.002202206	0.99652797	0.0012695205
31	NAG	NAG	0.0022420713	0.99656457	0.0011931394
32	NAG	NAG	0.03324717	0.76620257	0.2005503
33	NAG	NAG	0.0021227757	0.9967024	0.0011750095
34	NAG	NAG	0.0021637913	0.9966406	0.0011954452
35	NAG	NAG	0.002188382	0.99654317	0.0012686696
36	NAG	NAG	0.0022368869	0.9965988	0.0011642616
37	NAG	CAG	0.35841691	0.14315069	0.4984325
38	NAG	NAG	0.0021067252	0.99676704	0.0011260743
39	NAG	NAG	0.004831604	0.98970056	0.005467964
