id	label	Sub-task B_preds	GEN_probs	NGEN_probs
0	NGEN	NGEN	0.0019264421	0.9980735
1	NGEN	NGEN	0.0025114221	0.99748856
2	NGEN	NGEN	0.0016616529	0.9983384
3	NGEN	NGEN	0.007115367	0.9928846
4	NGEN	NGEN	0.0024668688	0.997533
5	NGEN	NGEN	0.0019597653	0.9980402
6	NGEN	NGEN	0.0021572895	0.9978427
7	NGEN	NGEN	0.009829924	0.99017
8	NGEN	NGEN	0.0018657575	0.9981342
9	NGEN	NGEN	0.0019735694	0.99802643
10	NGEN	NGEN	0.0024395618	0.9975604
11	NGEN	NGEN	0.0018291296	0.99817085
12	NGEN	NGEN	0.0020562771	0.99794364
13	NGEN	NGEN	0.001902071	0.998098
14	NGEN	NGEN	0.0016266584	0.9983734
15	NGEN	NGEN	0.002648296	0.9973516
16	NGEN	NGEN	0.0030230505	0.9969769
17	NGEN	NGEN	0.004202982	0.995797
18	NGEN	NGEN	0.006087321	0.9939127
19	NGEN	NGEN	0.002379897	0.9976201
20	NGEN	NGEN	0.0019194615	0.99808043
21	GEN	GEN	0.93583053	0.0641695
22	NGEN	NGEN	0.0014834981	0.99851644
23	NGEN	NGEN	0.0021331245	0.997867
24	GEN	GEN	0.96330106	0.03669885
25	NGEN	NGEN	0.0020808214	0.9979191
26	NGEN	NGEN	0.0019831946	0.9980169
27	NGEN	NGEN	0.0045525865	0.9954473
28	NGEN	NGEN	0.0031641275	0.99683595
29	NGEN	NGEN	0.0027155455	0.99728453
30	NGEN	NGEN	0.0016976239	0.99830246
31	NGEN	NGEN	0.001791333	0.9982087
32	NGEN	NGEN	0.0031932471	0.99680674
33	NGEN	NGEN	0.0015701217	0.99842983
34	NGEN	NGEN	0.0018299349	0.99817014
35	NGEN	NGEN	0.0020741327	0.997926
36	NGEN	NGEN	0.0019516773	0.9980483
37	NGEN	NGEN	0.0040092054	0.9959907
38	NGEN	NGEN	0.0026458171	0.9973542
39	NGEN	NGEN	0.0018445986	0.9981554
40	NGEN	NGEN	0.0016219941	0.99837816
41	NGEN	NGEN	0.0031500051	0.99684995
42	NGEN	NGEN	0.008221564	0.9917785
43	NGEN	NGEN	0.009367193	0.99063283
44	NGEN	NGEN	0.0023631586	0.99763674
45	NGEN	NGEN	0.0021735502	0.99782634
46	NGEN	NGEN	0.0022224742	0.9977775
47	NGEN	NGEN	0.0022544859	0.99774545
48	NGEN	NGEN	0.001988835	0.9980112
49	NGEN	NGEN	0.0016975534	0.99830246
50	NGEN	NGEN	0.0018903032	0.9981097
51	NGEN	NGEN	0.001999832	0.99800026
52	NGEN	NGEN	0.0018385526	0.99816155
53	NGEN	NGEN	0.0017458871	0.9982542
54	NGEN	NGEN	0.0019266608	0.9980733
55	NGEN	NGEN	0.0019556673	0.9980445
56	NGEN	NGEN	0.0021394107	0.99786055
57	NGEN	NGEN	0.0021646654	0.99783534
58	NGEN	NGEN	0.004380466	0.99561936
59	NGEN	NGEN	0.0029380016	0.997062
60	NGEN	NGEN	0.0019300529	0.99806994
61	GEN	GEN	0.9654128	0.034587167
62	GEN	GEN	0.9712383	0.028761592
63	NGEN	NGEN	0.0020018728	0.9979981
64	NGEN	NGEN	0.003953566	0.99604625
65	NGEN	NGEN	0.0025050093	0.997495
66	NGEN	NGEN	0.005071737	0.9949282
67	NGEN	NGEN	0.002361247	0.9976389
68	NGEN	NGEN	0.0015058118	0.9984941
69	NGEN	NGEN	0.0022574128	0.9977426
70	NGEN	NGEN	0.0017899318	0.99821013
71	GEN	GEN	0.9705286	0.029471388
72	NGEN	NGEN	0.00200577	0.9979943
73	NGEN	NGEN	0.0018253239	0.99817467
74	NGEN	NGEN	0.005034227	0.99496585
75	NGEN	NGEN	0.0016252132	0.9983748
76	NGEN	NGEN	0.0020478894	0.99795216
77	NGEN	NGEN	0.0020274713	0.99797267
78	NGEN	NGEN	0.001645475	0.9983546
79	NGEN	NGEN	0.0020474705	0.9979524
80	NGEN	NGEN	0.0031389052	0.99686116
81	NGEN	NGEN	0.0016603114	0.9983396
82	GEN	GEN	0.96641916	0.033580802
83	NGEN	NGEN	0.0017859845	0.99821395
84	NGEN	NGEN	0.0016241781	0.9983758
85	GEN	GEN	0.9608503	0.039149787
86	NGEN	NGEN	0.003487493	0.99651253
87	NGEN	NGEN	0.0024247114	0.99757534
88	NGEN	NGEN	0.0038541374	0.9961458
89	NGEN	NGEN	0.0017457214	0.9982542
90	NGEN	NGEN	0.003195427	0.9968046
91	NGEN	NGEN	0.0017958735	0.9982042
92	NGEN	NGEN	0.0047785807	0.9952214
93	NGEN	NGEN	0.002239822	0.9977602
94	NGEN	NGEN	0.0018342548	0.99816585
95	NGEN	NGEN	0.0023616604	0.9976384
96	NGEN	NGEN	0.002451234	0.9975487
97	NGEN	NGEN	0.0017750238	0.9982251
98	NGEN	NGEN	0.002919801	0.9970801
99	NGEN	NGEN	0.0019848454	0.9980152
100	NGEN	NGEN	0.003012527	0.9969876
101	NGEN	NGEN	0.006679031	0.99332094
102	NGEN	NGEN	0.0031479541	0.9968521
103	NGEN	NGEN	0.0024945864	0.9975054
104	NGEN	NGEN	0.0019957148	0.99800426
105	NGEN	NGEN	0.0017569032	0.998243
106	NGEN	NGEN	0.0026351577	0.9973649
107	NGEN	NGEN	0.0019054234	0.9980947
108	NGEN	NGEN	0.0015525161	0.9984474
109	NGEN	NGEN	0.0022176988	0.9977823
110	NGEN	NGEN	0.0021759497	0.99782395
111	NGEN	NGEN	0.0025431595	0.9974569
112	NGEN	NGEN	0.0018171692	0.9981828
113	NGEN	NGEN	0.0023393163	0.99766076
114	NGEN	NGEN	0.0024610718	0.997539
115	NGEN	NGEN	0.0025703146	0.9974296
116	NGEN	NGEN	0.0024693888	0.99753064
117	GEN	GEN	0.9875789	0.01242113
118	NGEN	NGEN	0.0024784615	0.99752164
119	NGEN	NGEN	0.0021619215	0.99783796
120	NGEN	NGEN	0.0021038712	0.997896
121	NGEN	NGEN	0.0021977308	0.9978023
122	NGEN	NGEN	0.0017112746	0.9982887
123	NGEN	NGEN	0.0032224995	0.9967775
124	NGEN	NGEN	0.0019289507	0.99807113
125	NGEN	NGEN	0.0016713939	0.9983286
126	NGEN	NGEN	0.003886869	0.996113
127	NGEN	NGEN	0.002161269	0.9978387
128	NGEN	NGEN	0.0018027786	0.99819726
129	NGEN	NGEN	0.003357182	0.99664277
130	NGEN	NGEN	0.0038732537	0.9961268
131	NGEN	NGEN	0.0049521104	0.9950479
132	NGEN	NGEN	0.0029600083	0.9970399
133	NGEN	NGEN	0.0021221351	0.9978777
134	NGEN	NGEN	0.001423911	0.998576
135	NGEN	NGEN	0.00198878	0.9980112
136	GEN	GEN	0.9788262	0.0211738
137	NGEN	NGEN	0.0016693246	0.99833053
138	NGEN	NGEN	0.0020920218	0.99790794
139	NGEN	NGEN	0.0017244226	0.9982756
140	GEN	GEN	0.9383764	0.061623503
141	NGEN	NGEN	0.0027142651	0.9972857
142	NGEN	NGEN	0.001668462	0.9983315
143	NGEN	NGEN	0.0045949663	0.9954051
144	NGEN	NGEN	0.0049322536	0.99506766
145	NGEN	NGEN	0.009044126	0.99095595
146	NGEN	NGEN	0.0021577617	0.99784225
147	NGEN	NGEN	0.0037328515	0.99626714
148	NGEN	NGEN	0.001814159	0.9981859
149	NGEN	NGEN	0.0020854631	0.9979146
150	NGEN	NGEN	0.0015869234	0.99841315
151	NGEN	NGEN	0.0043415567	0.9956586
152	NGEN	NGEN	0.002121526	0.99787843
153	GEN	NGEN	0.033610277	0.9663898
154	NGEN	NGEN	0.002124626	0.99787533
155	NGEN	NGEN	0.002034512	0.9979655
156	NGEN	NGEN	0.002356288	0.99764365
157	NGEN	NGEN	0.0016582652	0.99834174
158	NGEN	NGEN	0.0021402198	0.99785984
159	NGEN	NGEN	0.0018838102	0.99811614
160	NGEN	NGEN	0.0017520653	0.998248
161	NGEN	NGEN	0.0018342593	0.99816585
162	NGEN	NGEN	0.004271988	0.9957279
163	NGEN	NGEN	0.0014798243	0.99852026
164	NGEN	NGEN	0.0015270683	0.9984729
165	NGEN	NGEN	0.0021218772	0.9978782
166	NGEN	NGEN	0.0021833498	0.9978168
167	NGEN	NGEN	0.007041819	0.9929582
168	NGEN	NGEN	0.003345296	0.9966546
169	NGEN	NGEN	0.0019058068	0.99809426
170	NGEN	NGEN	0.0036848616	0.9963151
171	NGEN	NGEN	0.0026305905	0.9973694
172	NGEN	NGEN	0.0019644275	0.99803567
173	NGEN	NGEN	0.002252602	0.99774736
174	NGEN	NGEN	0.0020605056	0.9979396
175	NGEN	NGEN	0.0018379373	0.99816203
176	NGEN	NGEN	0.0022144695	0.9977854
177	NGEN	NGEN	0.0018417826	0.9981582
178	NGEN	NGEN	0.0021929909	0.997807
179	NGEN	NGEN	0.00175723	0.99824274
180	NGEN	NGEN	0.001687331	0.9983127
181	NGEN	NGEN	0.0018350895	0.9981649
182	NGEN	NGEN	0.0016234441	0.9983765
183	NGEN	NGEN	0.0017213786	0.9982787
184	NGEN	NGEN	0.0023936853	0.9976063
185	NGEN	NGEN	0.0037699367	0.9962301
186	NGEN	NGEN	0.002089948	0.9979101
187	NGEN	NGEN	0.003953796	0.99604625
188	NGEN	NGEN	0.003070882	0.9969291
189	GEN	GEN	0.9808258	0.019174134
190	NGEN	NGEN	0.0019327854	0.9980671
191	NGEN	NGEN	0.0028604693	0.9971395
192	NGEN	NGEN	0.0017720925	0.99822795
193	NGEN	NGEN	0.0031042611	0.9968956
194	NGEN	NGEN	0.0017486232	0.9982513
195	NGEN	NGEN	0.0017265839	0.99827343
196	NGEN	NGEN	0.0019685288	0.99803144
197	GEN	GEN	0.9219662	0.07803382
198	NGEN	NGEN	0.0022548942	0.9977452
199	NGEN	NGEN	0.0018720196	0.998128
200	NGEN	NGEN	0.007326594	0.99267346
201	NGEN	NGEN	0.002294446	0.9977057
202	NGEN	NGEN	0.0019148486	0.9980852
203	NGEN	NGEN	0.0023690886	0.9976308
204	NGEN	NGEN	0.0038476847	0.99615246
205	NGEN	NGEN	0.024729533	0.9752704
206	NGEN	NGEN	0.0037039646	0.99629587
207	NGEN	NGEN	0.0020263745	0.99797356
208	NGEN	NGEN	0.0026253874	0.99737465
209	NGEN	NGEN	0.0018846295	0.9981154
210	NGEN	NGEN	0.0020481294	0.9979519
211	NGEN	NGEN	0.0031502845	0.9968497
212	NGEN	NGEN	0.0024217626	0.9975782
213	NGEN	NGEN	0.0027710318	0.9972289
214	NGEN	NGEN	0.0022623213	0.9977376
215	NGEN	NGEN	0.0017374791	0.99826247
216	NGEN	NGEN	0.0020279374	0.9979722
217	NGEN	NGEN	0.001826022	0.99817395
218	NGEN	NGEN	0.001909429	0.9980907
219	NGEN	NGEN	0.0019810568	0.99801904
220	NGEN	NGEN	0.0025113288	0.99748856
221	NGEN	NGEN	0.0027078867	0.99729216
222	NGEN	NGEN	0.008717947	0.99128205
223	NGEN	NGEN	0.0021242267	0.9978758
224	NGEN	NGEN	0.0026285301	0.99737155
225	NGEN	NGEN	0.0018693018	0.9981306
226	NGEN	NGEN	0.0014847479	0.9985153
227	NGEN	NGEN	0.0015228719	0.99847716
228	NGEN	NGEN	0.0017210816	0.9982789
229	NGEN	NGEN	0.0034869707	0.996513
230	NGEN	NGEN	0.0024604842	0.99753946
231	NGEN	NGEN	0.0026780176	0.9973221
232	NGEN	NGEN	0.0024028912	0.9975973
233	NGEN	NGEN	0.0027069934	0.9972929
234	NGEN	NGEN	0.0020717408	0.9979284
235	NGEN	NGEN	0.006859593	0.9931405
236	GEN	GEN	0.973961	0.026039071
237	NGEN	NGEN	0.001609321	0.99839056
238	NGEN	NGEN	0.0022026913	0.9977973
239	NGEN	NGEN	0.0015971939	0.99840266
240	NGEN	NGEN	0.0029807384	0.99701923
241	NGEN	NGEN	0.0017702498	0.99822986
242	NGEN	NGEN	0.0025008798	0.99749905
243	NGEN	NGEN	0.0017689588	0.99823105
244	NGEN	NGEN	0.0018829049	0.9981171
245	NGEN	NGEN	0.005670964	0.9943289
246	NGEN	NGEN	0.0017976951	0.99820226
247	NGEN	NGEN	0.0016152916	0.9983846
248	NGEN	NGEN	0.010155132	0.989845
