id	label	Sub-task B_preds	GEN_probs	NGEN_probs
0	NGEN	NGEN	0.0070970287	0.99290305
1	NGEN	NGEN	0.029550381	0.9704496
2	NGEN	NGEN	0.0018099933	0.9981899
3	NGEN	NGEN	0.0019366943	0.9980633
4	NGEN	NGEN	0.004768179	0.9952318
5	NGEN	NGEN	0.0015891951	0.99841076
6	NGEN	NGEN	0.0025316204	0.99746835
7	NGEN	NGEN	0.012416784	0.98758316
8	NGEN	NGEN	0.008395721	0.99160427
9	NGEN	NGEN	0.001998425	0.99800146
10	NGEN	NGEN	0.011088992	0.9889111
11	NGEN	NGEN	0.0033618147	0.99663824
12	NGEN	NGEN	0.0021963795	0.99780375
13	NGEN	NGEN	0.0146302255	0.98536986
14	NGEN	NGEN	0.0015555068	0.99844456
15	NGEN	NGEN	0.05634922	0.9436508
16	NGEN	NGEN	0.0013870086	0.9986131
17	NGEN	NGEN	0.013525444	0.9864746
18	NGEN	NGEN	0.0042048623	0.9957951
19	NGEN	NGEN	0.019446248	0.98055375
20	NGEN	NGEN	0.0136586055	0.9863414
21	GEN	GEN	0.98878497	0.0112150945
22	NGEN	NGEN	0.0014488151	0.99855125
23	NGEN	NGEN	0.0015767083	0.9984234
24	GEN	GEN	0.9919012	0.008098814
25	NGEN	NGEN	0.0014039478	0.998596
26	NGEN	NGEN	0.005699757	0.99430025
27	NGEN	NGEN	0.0016107758	0.9983891
28	NGEN	NGEN	0.002330406	0.9976696
29	NGEN	NGEN	0.014310506	0.9856895
30	NGEN	NGEN	0.0025687316	0.9974312
31	NGEN	NGEN	0.0015432502	0.9984567
32	NGEN	NGEN	0.0018014828	0.99819845
33	NGEN	NGEN	0.0017390706	0.9982608
34	NGEN	NGEN	0.029550381	0.9704496
35	NGEN	NGEN	0.0146302255	0.98536986
36	NGEN	NGEN	0.004611283	0.9953887
37	NGEN	NGEN	0.006195938	0.99380416
38	NGEN	NGEN	0.0013720023	0.9986279
39	NGEN	NGEN	0.0025281897	0.9974717
40	NGEN	NGEN	0.0040197605	0.99598026
41	NGEN	NGEN	0.002639047	0.9973611
42	NGEN	NGEN	0.0052269455	0.99477303
43	NGEN	NGEN	0.0042337636	0.99576634
44	NGEN	NGEN	0.0015719002	0.99842817
45	NGEN	NGEN	0.0013562107	0.9986438
46	NGEN	NGEN	0.047055513	0.9529444
47	NGEN	NGEN	0.0016196006	0.99838054
48	NGEN	NGEN	0.0015178312	0.99848217
49	NGEN	NGEN	0.001321546	0.9986784
50	NGEN	NGEN	0.0018874246	0.99811256
51	NGEN	NGEN	0.0027953794	0.99720466
52	NGEN	NGEN	0.0025347623	0.99746525
53	NGEN	NGEN	0.006736781	0.99326336
54	NGEN	NGEN	0.0016718499	0.99832815
55	NGEN	NGEN	0.005584953	0.994415
56	NGEN	NGEN	0.0068686004	0.9931315
57	NGEN	NGEN	0.0020998532	0.99790007
58	NGEN	NGEN	0.0025787754	0.99742126
59	NGEN	NGEN	0.0030127757	0.99698734
60	NGEN	NGEN	0.0019094754	0.9980907
61	GEN	GEN	0.96843886	0.031561095
62	GEN	GEN	0.97355604	0.026443869
63	NGEN	NGEN	0.021022959	0.9789771
64	NGEN	NGEN	0.002089652	0.9979103
65	NGEN	NGEN	0.0047036344	0.99529636
66	NGEN	NGEN	0.0024362232	0.9975637
67	NGEN	NGEN	0.0014052318	0.9985948
68	NGEN	NGEN	0.03144826	0.96855164
69	NGEN	NGEN	0.0047557536	0.99524415
70	NGEN	NGEN	0.0017343602	0.99826556
71	GEN	GEN	0.92965764	0.070342414
72	NGEN	NGEN	0.0017903211	0.99820966
73	NGEN	NGEN	0.0015284407	0.9984715
74	NGEN	NGEN	0.00381996	0.99618
75	NGEN	NGEN	0.0070707723	0.9929293
76	NGEN	NGEN	0.0034011477	0.9965988
77	NGEN	NGEN	0.0014623648	0.99853766
78	NGEN	NGEN	0.0013790145	0.998621
79	NGEN	NGEN	0.0020512121	0.9979488
80	NGEN	NGEN	0.001606141	0.9983939
81	NGEN	NGEN	0.004313672	0.99568635
82	GEN	GEN	0.98558027	0.01441987
83	NGEN	NGEN	0.0146302255	0.98536986
84	NGEN	NGEN	0.029550381	0.9704496
85	GEN	GEN	0.9900312	0.009968748
86	NGEN	NGEN	0.0018073214	0.9981927
87	NGEN	NGEN	0.0021780808	0.9978218
88	NGEN	NGEN	0.0037007835	0.9962992
89	NGEN	NGEN	0.004626339	0.9953737
90	NGEN	NGEN	0.0020765772	0.9979234
91	NGEN	NGEN	0.0011689104	0.998831
92	NGEN	NGEN	0.002379711	0.99762034
