id	label	Sub-task B_preds	GEN_probs	NGEN_probs
0	NGEN	NGEN	0.0015219245	0.9984781
1	NGEN	NGEN	0.0018725544	0.9981273
2	NGEN	NGEN	0.001554334	0.99844575
3	NGEN	NGEN	0.0040570297	0.99594295
4	NGEN	NGEN	0.004451082	0.9955489
5	NGEN	NGEN	0.0030833774	0.9969168
6	NGEN	NGEN	0.0013671299	0.9986329
7	NGEN	NGEN	0.008544012	0.99145603
8	NGEN	NGEN	0.0017229225	0.998277
9	NGEN	NGEN	0.0014779428	0.99852216
10	NGEN	NGEN	0.0015986294	0.9984012
11	NGEN	NGEN	0.0016508523	0.99834913
12	NGEN	NGEN	0.0013221423	0.9986779
13	NGEN	NGEN	0.0013835967	0.99861646
14	NGEN	NGEN	0.0015177878	0.99848217
15	NGEN	NGEN	0.0014516822	0.9985484
16	NGEN	NGEN	0.0014004976	0.9985995
17	NGEN	NGEN	0.006957417	0.99304247
18	NGEN	NGEN	0.0016550887	0.99834484
19	NGEN	NGEN	0.0024577132	0.9975423
20	NGEN	NGEN	0.0014595073	0.9985405
21	GEN	GEN	0.9421969	0.05780313
22	NGEN	NGEN	0.0013027708	0.99869716
23	NGEN	NGEN	0.0016551827	0.99834484
24	GEN	GEN	0.9431486	0.05685135
25	NGEN	NGEN	0.0013483902	0.9986517
26	NGEN	NGEN	0.001570938	0.9984291
27	NGEN	NGEN	0.0014862822	0.9985139
28	NGEN	NGEN	0.00131856	0.9986815
29	NGEN	NGEN	0.0015080804	0.99849194
30	NGEN	NGEN	0.0013112355	0.9986888
31	NGEN	NGEN	0.00129812	0.99870193
32	NGEN	NGEN	0.0018856965	0.9981142
33	NGEN	NGEN	0.0012914552	0.9987086
34	NGEN	NGEN	0.0015088702	0.9984912
35	NGEN	NGEN	0.001655361	0.9983446
36	NGEN	NGEN	0.0013554387	0.99864453
37	NGEN	NGEN	0.00594875	0.99405134
38	NGEN	NGEN	0.0013206024	0.99867934
39	NGEN	NGEN	0.0015747586	0.9984253
40	NGEN	NGEN	0.0013260575	0.99867386
41	NGEN	NGEN	0.004170994	0.995829
42	NGEN	NGEN	0.003762143	0.99623793
43	NGEN	NGEN	0.006314636	0.99368525
44	NGEN	NGEN	0.0024575843	0.9975423
45	NGEN	NGEN	0.0013570219	0.99864286
46	NGEN	NGEN	0.0019285138	0.9980714
47	NGEN	NGEN	0.0012598789	0.99874
48	NGEN	NGEN	0.0031505956	0.99684924
49	NGEN	NGEN	0.0014223353	0.99857765
50	NGEN	NGEN	0.0013367593	0.9986631
51	NGEN	NGEN	0.0014567525	0.99854314
52	NGEN	NGEN	0.001471169	0.99852884
53	NGEN	NGEN	0.0014593012	0.99854076
54	NGEN	NGEN	0.001481061	0.99851906
55	NGEN	NGEN	0.0015351753	0.9984648
56	NGEN	NGEN	0.0014026042	0.99859744
57	NGEN	NGEN	0.001512032	0.9984879
58	NGEN	NGEN	0.0013826009	0.9986174
59	NGEN	NGEN	0.0014910816	0.9985089
60	NGEN	NGEN	0.002125771	0.9978744
61	GEN	GEN	0.9446282	0.055371825
62	GEN	GEN	0.94352376	0.05647616
63	NGEN	NGEN	0.0016141281	0.9983858
64	NGEN	GEN	0.93267345	0.067326516
65	NGEN	NGEN	0.0018641754	0.99813586
66	NGEN	NGEN	0.0023073088	0.99769264
67	NGEN	NGEN	0.0022060634	0.997794
68	NGEN	NGEN	0.0013009016	0.99869907
69	NGEN	NGEN	0.0015716408	0.9984284
70	NGEN	NGEN	0.0013431385	0.9986569
71	GEN	GEN	0.94430244	0.055697516
72	NGEN	NGEN	0.005674878	0.9943251
73	NGEN	NGEN	0.0015675245	0.99843246
74	NGEN	NGEN	0.0015220037	0.9984779
75	NGEN	NGEN	0.0013621759	0.9986379
76	NGEN	NGEN	0.0016632209	0.99833673
77	NGEN	NGEN	0.0014390458	0.99856097
78	NGEN	NGEN	0.0012955674	0.99870455
79	NGEN	NGEN	0.0014051975	0.9985948
80	NGEN	NGEN	0.0016152345	0.99838483
81	NGEN	NGEN	0.0015304689	0.9984696
82	GEN	GEN	0.9446758	0.05532419
83	NGEN	NGEN	0.0018755803	0.9981245
84	NGEN	NGEN	0.0014336077	0.99856645
85	GEN	GEN	0.94631594	0.053684056
86	NGEN	NGEN	0.0055838185	0.9944162
87	NGEN	NGEN	0.0015188737	0.998481
88	NGEN	NGEN	0.0055118324	0.99448824
89	NGEN	NGEN	0.001354139	0.9986457
90	NGEN	NGEN	0.0028439802	0.99715614
91	NGEN	NGEN	0.0012414344	0.9987586
92	NGEN	NGEN	0.00659446	0.99340546
93	NGEN	NGEN	0.0015266162	0.9984734
94	NGEN	NGEN	0.0015780908	0.99842197
95	NGEN	NGEN	0.0014437028	0.99855626
96	NGEN	NGEN	0.014805802	0.985194
97	NGEN	NGEN	0.0012662474	0.9987336
98	NGEN	NGEN	0.019817885	0.9801821
99	NGEN	NGEN	0.0014115984	0.9985884
100	NGEN	NGEN	0.00345314	0.996547
101	NGEN	NGEN	0.010717737	0.9892823
102	NGEN	NGEN	0.21857417	0.78142583
103	NGEN	NGEN	0.0014009826	0.99859905
104	NGEN	NGEN	0.001377179	0.99862266
105	NGEN	NGEN	0.0013454525	0.99865454
106	NGEN	NGEN	0.003281484	0.9967186
107	NGEN	NGEN	0.0014371407	0.9985629
108	NGEN	NGEN	0.0013118371	0.9986881
109	NGEN	NGEN	0.001541355	0.9984586
110	NGEN	NGEN	0.0015202817	0.9984798
111	NGEN	NGEN	0.0013229104	0.9986772
112	NGEN	NGEN	0.001418407	0.9985817
113	NGEN	NGEN	0.0021155719	0.9978844
114	NGEN	NGEN	0.0016085936	0.9983913
115	NGEN	NGEN	0.00243312	0.9975668
116	NGEN	NGEN	0.0022025683	0.99779755
117	GEN	GEN	0.95009404	0.049906053
118	NGEN	NGEN	0.011146872	0.9888531
119	NGEN	NGEN	0.001375343	0.99862456
120	NGEN	NGEN	0.001496886	0.99850315
121	NGEN	NGEN	0.0015936814	0.99840623
122	NGEN	NGEN	0.0019779843	0.99802214
123	NGEN	NGEN	0.0015652404	0.99843484
124	NGEN	NGEN	0.0014602675	0.99853957
125	NGEN	NGEN	0.0013901994	0.9986098
126	NGEN	NGEN	0.003299619	0.9967003
127	NGEN	NGEN	0.001474384	0.99852574
128	NGEN	NGEN	0.0014634844	0.99853647
129	NGEN	NGEN	0.003308773	0.9966912
130	NGEN	NGEN	0.001306253	0.9986938
131	NGEN	NGEN	0.010350044	0.9896501
132	NGEN	NGEN	0.0045568626	0.99544305
133	NGEN	NGEN	0.0022229056	0.9977771
134	NGEN	NGEN	0.0013589632	0.998641
135	NGEN	NGEN	0.0017091804	0.99829084
136	GEN	GEN	0.94545317	0.05454683
137	NGEN	NGEN	0.002280765	0.9977193
