id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
0	NAG-NGEN	NAG-NGEN	0.0002621668	0.00054355623	0.0005445397	0.996864	0.00030742268	0.0014784652
1	NAG-NGEN	NAG-NGEN	0.0039796447	0.004594986	0.004486213	0.9754605	0.0039399425	0.007538831
2	NAG-NGEN	NAG-NGEN	0.00036450467	0.000868248	0.00064822397	0.9951016	0.00040323756	0.0026144388
3	NAG-NGEN	NAG-NGEN	0.0046311617	0.010036635	0.006615013	0.66976887	0.005095337	0.30385306
4	NAG-NGEN	NAG-NGEN	0.00051259424	0.0016239621	0.0010830824	0.9866879	0.000684834	0.009407381
5	NAG-NGEN	NAG-NGEN	0.0004466026	0.001150595	0.0011526026	0.98349893	0.0005463403	0.01320491
6	NAG-NGEN	NAG-NGEN	0.00030379646	0.00058246625	0.0008985964	0.9938127	0.00034233817	0.0040601785
7	CAG-NGEN	CAG-NGEN	0.051073637	0.14239837	0.03723483	0.020897038	0.019433238	0.728963
8	NAG-NGEN	NAG-NGEN	0.000658115	0.001973704	0.0011003567	0.9797478	0.0010081987	0.01551188
9	NAG-NGEN	NAG-NGEN	0.001553007	0.0018090027	0.0019492852	0.98923934	0.0013233098	0.0041261883
10	NAG-NGEN	NAG-NGEN	0.0005368843	0.0007635411	0.0008588146	0.99578035	0.00056040986	0.0015000871
11	NAG-NGEN	NAG-NGEN	0.0005844739	0.0008459778	0.001046182	0.9952539	0.0005978138	0.0016715023
12	NAG-NGEN	NAG-NGEN	0.0003017015	0.0004306191	0.00065526424	0.99691963	0.0003722148	0.0013204463
13	NAG-NGEN	NAG-NGEN	0.0015558429	0.0014923178	0.0018235022	0.9896479	0.0015226083	0.0039578383
14	CAG-NGEN	CAG-NGEN	0.0065162308	0.041603472	0.008622051	0.02976032	0.0057158014	0.90778226
15	NAG-NGEN	NAG-NGEN	0.00023733343	0.0004290434	0.0004794738	0.9970855	0.00027899077	0.0014898477
16	NAG-NGEN	NAG-NGEN	0.00026185098	0.00047309822	0.00065699784	0.99644196	0.00029353675	0.0018724732
