id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
0	NAG-NGEN	NAG-NGEN	0.0014605424	0.00077533734	0.0016275491	0.9920552	0.0008951059	0.0031862704
1	NAG-NGEN	NAG-NGEN	0.0014920267	0.0008086222	0.0013262174	0.9935611	0.00075998646	0.0020520769
2	NAG-NGEN	NAG-NGEN	0.0005858073	0.0004407038	0.0006050672	0.9952487	0.00036180366	0.0027578606
3	NAG-NGEN	CAG-NGEN	0.008777892	0.16925637	0.011674032	0.038815305	0.013086589	0.7583899
4	NAG-NGEN	NAG-NGEN	0.0006413554	0.00090149976	0.0011549843	0.9875328	0.00070892286	0.00906058
5	NAG-NGEN	NAG-NGEN	0.00078133267	0.0011537145	0.0019476202	0.97695196	0.0011289729	0.018036515
6	NAG-NGEN	NAG-NGEN	0.00055182015	0.00044058423	0.00072657206	0.9952017	0.00039386688	0.002685538
7	CAG-NGEN	CAG-NGEN	0.012515196	0.12048288	0.031962063	0.03535017	0.019231023	0.7804586
8	NAG-NGEN	NAG-NGEN	0.0007494283	0.0010716484	0.0010214518	0.98786104	0.00072051096	0.00857589
9	NAG-NGEN	NAG-NGEN	0.0019563192	0.00097640743	0.0018732627	0.9915014	0.0010366511	0.0026557266
10	NAG-NGEN	NAG-NGEN	0.000626557	0.0006679292	0.00064923614	0.99464333	0.00033474676	0.0030782504
11	NAG-NGEN	NAG-NGEN	0.003433529	0.0015767376	0.0030454416	0.9856256	0.0018895318	0.004429222
12	NAG-NGEN	NAG-NGEN	0.000806111	0.0005859333	0.001066515	0.9947799	0.00057074457	0.0021906716
13	NAG-NGEN	NAG-NGEN	0.0013349395	0.0006785271	0.0013195147	0.99384683	0.0006634652	0.002156691
14	CAG-NGEN	CAG-NGEN	0.004868113	0.04515729	0.009081138	0.106162585	0.009243448	0.8254874
15	NAG-NGEN	NAG-NGEN	0.00057983864	0.00045831103	0.00069211546	0.99581075	0.0003836178	0.0020755446
16	NAG-NGEN	NAG-NGEN	0.0013174312	0.00083225034	0.0018908036	0.99153453	0.00089574506	0.0035293966
17	NAG-NGEN	NAG-NGEN	0.00075003103	0.00065257703	0.0008690275	0.9937516	0.00053766824	0.0034389887
18	NAG-NGEN	NAG-NGEN	0.0006105411	0.0004734297	0.00070265506	0.99546224	0.00038155125	0.0023694197
19	CAG-NGEN	CAG-NGEN	0.019508408	0.22956128	0.055939294	0.020796837	0.034694914	0.6394992
20	NAG-NGEN	NAG-NGEN	0.00086903496	0.00053570746	0.0008486266	0.9949977	0.0005311276	0.002217889
21	NAG-GEN	NAG-GEN	0.13614891	0.038650107	0.6663237	0.009176082	0.1261087	0.02359259
22	NAG-NGEN	NAG-NGEN	0.0007805745	0.0005743628	0.0008557646	0.9939573	0.00051682524	0.0033154662
23	NAG-NGEN	NAG-NGEN	0.0006753944	0.00068522664	0.0010389313	0.9918594	0.00055068434	0.005190168
24	NAG-GEN	OAG-GEN	0.5124302	0.11039336	0.24783963	0.016409917	0.10327497	0.009651884
25	NAG-NGEN	NAG-NGEN	0.00058078166	0.0004971983	0.0006656698	0.99509823	0.00039287913	0.0027654418
26	NAG-NGEN	NAG-NGEN	0.0019977856	0.0010296133	0.0018986257	0.99053884	0.0012963163	0.0032388011
27	NAG-NGEN	NAG-NGEN	0.0011690018	0.00068287033	0.0011743509	0.9945802	0.00055996806	0.0018334696
28	OAG-NGEN	OAG-NGEN	0.08699275	0.46245736	0.124303	0.053022806	0.04301986	0.23020418
29	NAG-NGEN	NAG-NGEN	0.0004914182	0.0005244997	0.00061854493	0.9952838	0.00036106532	0.0027204677
30	NAG-NGEN	NAG-NGEN	0.0004615934	0.00041744977	0.0006230792	0.9952254	0.0003511979	0.002921564
31	NAG-NGEN	NAG-NGEN	0.0009327693	0.0005398447	0.0009299688	0.99530375	0.00050213264	0.0017915525
32	NAG-NGEN	NAG-NGEN	0.00074343133	0.0021585263	0.0013138247	0.9644437	0.0008772988	0.030463306
33	NAG-NGEN	NAG-NGEN	0.00083425886	0.0005997182	0.001036446	0.99393547	0.0005216361	0.0030724376
34	NAG-NGEN	NAG-NGEN	0.0012032866	0.0006171685	0.0011253331	0.99448204	0.00064315216	0.0019289405
35	NAG-NGEN	NAG-NGEN	0.0017191303	0.00086958834	0.0014406372	0.99303865	0.0008430265	0.0020887642
36	NAG-NGEN	NAG-NGEN	0.0007727268	0.0005252788	0.000892724	0.9955942	0.00048658802	0.0017284135
37	NAG-NGEN	NAG-NGEN	0.004677399	0.033841774	0.006547923	0.7408493	0.0047542118	0.20932925
38	NAG-NGEN	NAG-NGEN	0.0011056672	0.00063745765	0.0012785712	0.99384636	0.00068089186	0.0024512
39	NAG-NGEN	NAG-NGEN	0.00063187955	0.00051242806	0.0007036006	0.9953004	0.0004714837	0.0023800933
40	NAG-NGEN	NAG-NGEN	0.0011858577	0.0006769126	0.001165282	0.9938857	0.0006541762	0.0024323312
41	NAG-NGEN	NAG-NGEN	0.0004912221	0.0010443075	0.0008859542	0.98403364	0.00056728435	0.012977822
42	CAG-NGEN	CAG-NGEN	0.004537074	0.059047706	0.009648217	0.061018936	0.0072595812	0.8584883
43	NAG-NGEN	CAG-NGEN	0.077114366	0.33612657	0.05704075	0.130481	0.024200346	0.37503698
44	CAG-NGEN	CAG-NGEN	0.009456872	0.08411788	0.021091226	0.0660195	0.009928132	0.8093863
45	NAG-NGEN	NAG-NGEN	0.0009178707	0.0016859701	0.0015366019	0.9814498	0.00091705617	0.01349274
46	NAG-NGEN	NAG-NGEN	0.0009868243	0.0006365774	0.00084239035	0.99496824	0.000462573	0.0021034249
47	CAG-NGEN	CAG-NGEN	0.014827584	0.21573566	0.017914169	0.02550463	0.021630568	0.7043873
