id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
0	NAG-NGEN	NAG-NGEN	0.0043401266	0.008531046	0.004684452	0.9684068	0.0008211482	0.0132163875
1	NAG-NGEN	NAG-NGEN	0.004498614	0.009953269	0.0050472952	0.9621456	0.0008825427	0.017472873
2	NAG-NGEN	NAG-NGEN	0.004525866	0.010142076	0.005100615	0.9612853	0.0008928253	0.018053155
3	NAG-NGEN	NAG-GEN	0.26913303	0.2904788	0.32033333	0.013569773	0.06530977	0.041175283
4	NAG-NGEN	NAG-NGEN	0.0069508445	0.023852805	0.009618029	0.8736088	0.0021952298	0.08377418
5	NAG-NGEN	NAG-NGEN	0.012218358	0.08748546	0.021073654	0.47862923	0.0068063117	0.39378703
6	NAG-NGEN	NAG-NGEN	0.0043887305	0.009068784	0.00481062	0.9660928	0.0008391406	0.014799718
7	CAG-NGEN	CAG-NGEN	0.07410546	0.29122135	0.13539377	0.13046044	0.018597202	0.35022187
8	NAG-NGEN	NAG-NGEN	0.0043671476	0.008868697	0.0047596763	0.9669625	0.0008310496	0.014210723
9	NAG-NGEN	NAG-NGEN	0.0043560686	0.00875327	0.004732492	0.9674546	0.0008268758	0.013876476
10	NAG-NGEN	NAG-NGEN	0.0043548453	0.008755799	0.0047310228	0.9674472	0.00082688604	0.013884014
11	NAG-NGEN	NAG-NGEN	0.0043390216	0.008531619	0.004683025	0.9684063	0.000821088	0.013219085
12	NAG-NGEN	NAG-NGEN	0.004410789	0.0092529785	0.00485971	0.9652847	0.00084742723	0.015344376
13	NAG-NGEN	NAG-NGEN	0.0044509824	0.010084377	0.0051296763	0.960899	0.00090165366	0.01853453
14	CAG-NGEN	NAG-NGEN	0.0069395583	0.033934344	0.010683662	0.796093	0.0025428564	0.14980642
15	NAG-NGEN	NAG-NGEN	0.0044444227	0.009544022	0.004935053	0.9639917	0.00086129614	0.016223669
16	NAG-NGEN	NAG-NGEN	0.0047202767	0.011402966	0.0054761022	0.95537126	0.00096634385	0.022063196
17	NAG-NGEN	NAG-NGEN	0.0066349525	0.022893976	0.009123134	0.88709587	0.0019942354	0.072257705
18	NAG-NGEN	NAG-NGEN	0.0045606536	0.010358896	0.0051607243	0.96032506	0.0009042577	0.01869043
19	CAG-NGEN	NAG-NGEN	0.004647279	0.011064304	0.005466741	0.9564561	0.00096061395	0.021404786
20	NAG-NGEN	NAG-NGEN	0.0044074333	0.009918966	0.0051087984	0.96152276	0.0008935924	0.018148243
21	NAG-GEN	OAG-NGEN	0.12332114	0.29632095	0.22849384	0.110495314	0.027048245	0.2143205
22	NAG-NGEN	NAG-NGEN	0.0043988083	0.009161108	0.004834146	0.965688	0.0008431817	0.015074959
23	NAG-NGEN	NAG-NGEN	0.009396545	0.056690227	0.015398983	0.6934696	0.0038226184	0.221222
24	NAG-GEN	NAG-GEN	0.3650751	0.14288926	0.37411115	0.0056527997	0.096536614	0.01573505
25	NAG-NGEN	NAG-NGEN	0.0045361067	0.010154731	0.005107315	0.96125966	0.00089310936	0.01804892
26	NAG-NGEN	NAG-NGEN	0.0043648304	0.0088625	0.00475655	0.9669874	0.00083067	0.014197962
27	NAG-NGEN	NAG-NGEN	0.004387743	0.009067669	0.004809184	0.96609885	0.00083901256	0.01479741
28	OAG-NGEN	OAG-NGEN	0.026147736	0.57302326	0.060431786	0.048870895	0.0130333435	0.2784929
29	NAG-NGEN	NAG-NGEN	0.0043664374	0.008865809	0.004758476	0.96697587	0.0008308562	0.014202757
30	NAG-NGEN	NAG-NGEN	0.0045518526	0.010322689	0.0051509617	0.96045965	0.0009026999	0.018611921
31	NAG-NGEN	NAG-NGEN	0.0044279676	0.00938577	0.004899042	0.9646819	0.0008538346	0.015751498
32	NAG-NGEN	NAG-NGEN	0.008105865	0.047823567	0.013190983	0.6867566	0.003375658	0.24074748
33	NAG-NGEN	NAG-NGEN	0.004420934	0.009336544	0.004881986	0.96491516	0.00085134985	0.015594051
34	NAG-NGEN	NAG-NGEN	0.0043480084	0.008635782	0.004709164	0.9679479	0.00082343887	0.013535961
35	NAG-NGEN	NAG-NGEN	0.004338012	0.008528951	0.004681652	0.9684169	0.00082091807	0.013213565
36	NAG-NGEN	NAG-NGEN	0.004378854	0.008969572	0.004786581	0.9665241	0.0008350728	0.014505834
37	NAG-NGEN	CAG-NGEN	0.01991064	0.3505737	0.04526217	0.12706462	0.009145003	0.44804388
38	NAG-NGEN	NAG-NGEN	0.0044101956	0.009248739	0.004858468	0.9653031	0.00084719004	0.015332191
39	NAG-NGEN	NAG-NGEN	0.0043556923	0.008757854	0.0047323923	0.967438	0.0008270493	0.01388912
40	NAG-NGEN	NAG-NGEN	0.0044064266	0.0098591605	0.005086319	0.96182495	0.00089057814	0.017932422
41	NAG-NGEN	NAG-NGEN	0.008423739	0.04010879	0.01281033	0.77125037	0.0030047887	0.16440207
42	CAG-NGEN	CAG-NGEN	0.025777735	0.27749497	0.05979504	0.13469397	0.010041101	0.4921971
43	NAG-NGEN	NAG-NGEN	0.0043695136	0.008883422	0.0047631273	0.96690255	0.0008317592	0.014249584
44	CAG-NGEN	OAG-NGEN	0.24410392	0.3452416	0.2763195	0.028337877	0.052983604	0.053013563
45	NAG-NGEN	NAG-NGEN	0.004434133	0.009316798	0.004883618	0.965027	0.00085104053	0.01548735
46	NAG-NGEN	NAG-NGEN	0.0043563363	0.00875686	0.004732941	0.96744263	0.00082702684	0.013884525
47	CAG-NGEN	NAG-NGEN	0.007551978	0.027761681	0.010233263	0.8814705	0.0019404953	0.071042
48	NAG-NGEN	NAG-NGEN	0.008378141	0.05127461	0.013800368	0.68250823	0.0034243532	0.2406143
49	NAG-NGEN	NAG-NGEN	0.0044103595	0.0092546195	0.004859119	0.96527916	0.0008474628	0.015349359
50	NAG-NGEN	NAG-NGEN	0.0044383807	0.009481951	0.004920339	0.9642689	0.00085831346	0.016032143
51	NAG-NGEN	NAG-NGEN	0.0043576555	0.008759478	0.0047348347	0.9674306	0.0008272323	0.013890087
52	NAG-NGEN	NAG-NGEN	0.004347799	0.008646787	0.004708737	0.9679128	0.0008237582	0.0135604
53	NAG-NGEN	NAG-NGEN	0.0043367236	0.00852756	0.0046800673	0.96842295	0.0008208108	0.01321163
54	OAG-NGEN	NAG-NGEN	0.010941243	0.09092352	0.020304503	0.4637975	0.005719755	0.4083134
55	NAG-NGEN	NAG-NGEN	0.004340323	0.008530789	0.0046847714	0.9684068	0.00082116	0.013216097
56	NAG-NGEN	NAG-NGEN	0.0043893605	0.009070558	0.004811347	0.9660864	0.00083924824	0.014803247
57	NAG-NGEN	NAG-NGEN	0.016912306	0.1251263	0.02998521	0.45493227	0.008701741	0.3643421
58	NAG-NGEN	NAG-NGEN	0.0044066557	0.009204966	0.004845928	0.96550566	0.0008452854	0.0151916575
59	NAG-NGEN	NAG-NGEN	0.004378643	0.008975909	0.0047864984	0.96650106	0.000835285	0.014522763
60	CAG-NGEN	CAG-NGEN	0.012665644	0.1255294	0.026743794	0.3762876	0.006848171	0.45192522
61	NAG-GEN	OAG-NGEN	0.16289768	0.34233835	0.19177334	0.10031396	0.044781383	0.15789524
62	OAG-GEN	NAG-GEN	0.22708537	0.13948281	0.25804108	0.19421831	0.043532614	0.13763975
