id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
0	NAG	NAG	0.011564596	0.9468857	0.04154953
1	NAG	NAG	0.07708205	0.89501435	0.027903687
2	OAG	OAG	0.9210774	0.0076724333	0.07125023
3	OAG	OAG	0.62958086	0.030381294	0.3400379
4	NAG	NAG	0.01182458	0.9519049	0.03627069
5	NAG	CAG	0.3905257	0.16308874	0.44638547
6	OAG	OAG	0.77969426	0.13794096	0.08236484
7	OAG	CAG	0.320402	0.14150041	0.5380975
8	OAG	OAG	0.63106656	0.07943875	0.2894947
9	OAG	CAG	0.44238827	0.085811466	0.47180027
10	NAG	NAG	0.0033054648	0.98598546	0.010709027
11	CAG	OAG	0.9093599	0.017592464	0.073047675
12	NAG	NAG	0.0032596507	0.9922991	0.004441205
13	NAG	NAG	0.0022355295	0.9885165	0.009247817
14	NAG	NAG	0.0027412074	0.9906248	0.0066339658
15	CAG	CAG	0.0326212	0.3819438	0.5854351
16	NAG	NAG	0.009821168	0.95447177	0.035707198
17	NAG	NAG	0.043848462	0.52062017	0.43553132
18	OAG	OAG	0.92259365	0.011562936	0.065843396
19	NAG	NAG	0.0039867465	0.9825806	0.013432724
20	NAG	NAG	0.0035304788	0.991944	0.004525603
21	CAG	CAG	0.44427037	0.04345285	0.5122769
22	NAG	NAG	0.0025283536	0.9899559	0.007515587
23	CAG	CAG	0.02385599	0.31695986	0.6591842
24	NAG	CAG	0.09369342	0.32785788	0.57844865
25	CAG	CAG	0.33296216	0.1827505	0.48428747
26	CAG	CAG	0.11069128	0.2715503	0.6177585
27	OAG	OAG	0.56353426	0.25548497	0.1809808
28	NAG	NAG	0.003213742	0.9882813	0.008505075
29	NAG	NAG	0.002796142	0.9854698	0.011733813
30	CAG	OAG	0.51604635	0.19842163	0.28553206
31	CAG	CAG	0.117615566	0.17929839	0.703086
32	OAG	CAG	0.3216184	0.30976096	0.36862063
33	NAG	NAG	0.0057249255	0.9753073	0.018967988
34	NAG	NAG	0.002927689	0.9914629	0.0056094644
35	NAG	NAG	0.002492729	0.9823576	0.015149722
36	CAG	OAG	0.53433645	0.07650383	0.38915977
37	OAG	OAG	0.8807216	0.02044724	0.09883119
38	NAG	NAG	0.0027197415	0.98895895	0.008321143
39	OAG	CAG	0.38885236	0.20282741	0.40832028
40	NAG	NAG	0.002618616	0.9906349	0.006746386
41	NAG	NAG	0.0034634003	0.98686576	0.009670915
42	NAG	NAG	0.0041044727	0.9695466	0.026348976
43	NAG	NAG	0.002302181	0.98803985	0.009658021
44	OAG	OAG	0.9053917	0.009537117	0.08507132
45	OAG	OAG	0.91845775	0.010584157	0.07095815
46	OAG	CAG	0.38833708	0.14981751	0.4618453
47	NAG	NAG	0.002930776	0.99119556	0.0058736163
48	CAG	CAG	0.08467034	0.15896316	0.75636643
49	NAG	CAG	0.07665098	0.11897557	0.80437344
50	NAG	NAG	0.0029890137	0.99194473	0.0050662695
51	OAG	OAG	0.8916059	0.011138774	0.09725524
52	NAG	NAG	0.0024193954	0.98442274	0.013157782
53	NAG	NAG	0.012720195	0.924385	0.06289487
54	OAG	OAG	0.77217335	0.026733626	0.20109306
55	NAG	NAG	0.00289299	0.9920793	0.0050275484
56	NAG	NAG	0.026224235	0.9482012	0.025574632
57	NAG	NAG	0.0068845563	0.98524314	0.007872163
58	OAG	OAG	0.7429422	0.008920066	0.24813771
59	CAG	CAG	0.19124481	0.20211649	0.60663867
60	NAG	NAG	0.0027317444	0.99172693	0.005541189
61	NAG	NAG	0.005942249	0.91901016	0.075047664
62	NAG	NAG	0.0032358572	0.9832466	0.013517488
63	NAG	NAG	0.0027850044	0.98080254	0.016412554
64	CAG	OAG	0.44152936	0.17196894	0.38650176
65	NAG	NAG	0.0033758834	0.9913494	0.0052746977
66	CAG	NAG	0.022300646	0.61436933	0.3633301
67	CAG	NAG	0.064408705	0.4703075	0.46528375
68	OAG	OAG	0.9195601	0.009741905	0.07069805
69	NAG	NAG	0.002640132	0.99203485	0.0053248405
70	NAG	NAG	0.003505123	0.9892358	0.0072591794
71	NAG	NAG	0.0030870554	0.9916917	0.005221201
72	NAG	NAG	0.0039500725	0.959567	0.036482863
73	NAG	NAG	0.0028156035	0.9906987	0.006485709
74	NAG	NAG	0.0031125643	0.9915917	0.005295797
75	CAG	CAG	0.044596057	0.22417004	0.7312339
76	NAG	NAG	0.005611316	0.9717454	0.022643173
77	NAG	NAG	0.01495318	0.9108573	0.07418964
78	NAG	NAG	0.0026343109	0.9823129	0.015052849
79	CAG	NAG	0.004414795	0.9752705	0.02031454
80	CAG	NAG	0.03129996	0.89935553	0.06934443
81	OAG	OAG	0.9124821	0.020285748	0.06723215
82	NAG	NAG	0.0034387198	0.9807429	0.01581854
83	NAG	NAG	0.0029131924	0.99163616	0.0054505644
84	OAG	OAG	0.89477956	0.009547	0.09567334
85	NAG	NAG	0.0036950773	0.98361266	0.012692227
86	OAG	OAG	0.9490631	0.017961621	0.03297515
87	NAG	NAG	0.032252006	0.6991818	0.2685663
88	OAG	OAG	0.9516532	0.0077920672	0.0405549
89	NAG	NAG	0.0042415955	0.99010813	0.0056502693
90	NAG	NAG	0.0038345961	0.9360742	0.060091246
91	CAG	CAG	0.13618416	0.19382966	0.6699862
92	CAG	CAG	0.16111107	0.14725974	0.69162923
93	NAG	NAG	0.008147382	0.98639786	0.005454719
94	CAG	OAG	0.5032329	0.03176993	0.4649972
95	CAG	CAG	0.45439222	0.087838046	0.45776972
96	CAG	CAG	0.113	0.17218712	0.7148129
97	CAG	CAG	0.040444188	0.08038293	0.8791729
98	NAG	NAG	0.004635779	0.9893134	0.006050753
99	CAG	CAG	0.4471139	0.030236242	0.5226498
100	NAG	NAG	0.002840711	0.9924735	0.0046859803
101	CAG	CAG	0.18658337	0.32554924	0.4878674
102	OAG	OAG	0.9059038	0.009943795	0.084152386
103	CAG	CAG	0.06565979	0.37076265	0.5635775
104	OAG	OAG	0.89422506	0.023177361	0.08259742
105	NAG	NAG	0.00465131	0.98929715	0.006051624
106	NAG	NAG	0.0023210219	0.99104834	0.006630737
107	NAG	NAG	0.00272679	0.9913109	0.005962461
108	NAG	NAG	0.002691638	0.97397345	0.02333502
109	NAG	NAG	0.0035612087	0.983456	0.012982693
110	CAG	CAG	0.2170413	0.14964868	0.63331
111	NAG	NAG	0.0034949093	0.9919797	0.0045254407
112	CAG	CAG	0.3908409	0.0923523	0.5168068
113	NAG	NAG	0.0030335772	0.98858106	0.008385391
114	OAG	OAG	0.9676018	0.010999889	0.021398239
115	NAG	NAG	0.0026319053	0.9913981	0.0059698145
116	NAG	NAG	0.002410925	0.98779297	0.009796197
117	NAG	NAG	0.039544333	0.88837975	0.07207595
118	OAG	OAG	0.909374	0.013748938	0.07687703
119	NAG	NAG	0.09062382	0.8819126	0.027463602
120	CAG	CAG	0.24527942	0.08061937	0.67410123
121	NAG	NAG	0.0034342397	0.97176135	0.024804348
122	NAG	NAG	0.0029234677	0.9920358	0.005040554
123	NAG	NAG	0.0032236816	0.9910725	0.0057037836
124	NAG	NAG	0.0025913077	0.98354226	0.013866555
125	OAG	OAG	0.95619845	0.01684866	0.026953029
126	NAG	NAG	0.0031957666	0.98395365	0.012850691
127	NAG	NAG	0.0031465013	0.9910857	0.005767846
128	NAG	NAG	0.0025929948	0.9888618	0.008545218
129	NAG	NAG	0.002779439	0.99108404	0.006136609
130	NAG	NAG	0.0031281097	0.9924926	0.004379121
131	OAG	OAG	0.9607565	0.0107972445	0.028446387
132	OAG	CAG	0.4759688	0.021876749	0.50215447
133	OAG	OAG	0.9661709	0.009765793	0.02406332
134	CAG	CAG	0.117550805	0.040614545	0.8418347
135	CAG	CAG	0.27964896	0.079773456	0.6405777
136	NAG	NAG	0.010182728	0.84223574	0.14758168
137	OAG	OAG	0.88817155	0.006152049	0.105676286
138	OAG	OAG	0.904666	0.009483623	0.08585033
139	NAG	NAG	0.0027520438	0.989853	0.007394875
140	NAG	NAG	0.0028859824	0.9922442	0.0048696194
141	NAG	NAG	0.0028695187	0.98963404	0.007496628
142	CAG	CAG	0.08470229	0.046578664	0.86871904
143	NAG	NAG	0.0027455464	0.99137044	0.0058839717
144	CAG	NAG	0.015815817	0.6169054	0.36727878
145	NAG	NAG	0.0029544088	0.99099237	0.0060531483
146	OAG	OAG	0.90730536	0.04449105	0.04820349
147	NAG	NAG	0.0040109493	0.9811578	0.014831268
148	CAG	CAG	0.16206686	0.074476585	0.7634566
149	NAG	NAG	0.0040954407	0.9109954	0.08490903
150	NAG	NAG	0.0036386787	0.9885591	0.0078021246
151	NAG	NAG	0.003707513	0.9916378	0.0046547465
152	CAG	NAG	0.04746963	0.7936409	0.15888932
153	CAG	CAG	0.33925557	0.06863904	0.5921053
154	CAG	OAG	0.6482572	0.018786948	0.33295578
155	CAG	CAG	0.2915151	0.16574967	0.54273516
156	NAG	NAG	0.0027944625	0.99224776	0.0049577337
157	NAG	NAG	0.0033677786	0.9878848	0.0087474445
158	CAG	OAG	0.52992094	0.03217318	0.43790588
159	NAG	NAG	0.0036409402	0.98979235	0.006566709
160	NAG	NAG	0.006814232	0.9865677	0.006618073
161	CAG	CAG	0.14482327	0.07123267	0.7839441
162	OAG	OAG	0.94225556	0.006891805	0.050852593
163	CAG	CAG	0.12765491	0.06312526	0.8092198
164	NAG	NAG	0.0056383084	0.91851115	0.07585049
165	NAG	NAG	0.0032199668	0.9922972	0.004482905
166	OAG	OAG	0.8521907	0.08665936	0.061149996
