id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
0	NAG	NAG	0.19458167	0.65554565	0.14987266
1	NAG	NAG	0.14129488	0.7722929	0.086412296
2	OAG	CAG	0.3298045	0.31341136	0.35678425
3	OAG	CAG	0.33049458	0.30989295	0.35961246
4	NAG	NAG	0.14126873	0.7723166	0.08641477
5	NAG	CAG	0.3123337	0.3435977	0.34406862
6	OAG	NAG	0.14126462	0.7723183	0.08641705
7	OAG	CAG	0.32656989	0.31514135	0.3582888
8	OAG	NAG	0.14128082	0.77230525	0.08641398
9	OAG	NAG	0.14125681	0.7723284	0.08641475
10	NAG	NAG	0.14128599	0.77229935	0.08641462
11	CAG	NAG	0.14127168	0.7723117	0.08641662
12	NAG	NAG	0.14129768	0.7722921	0.08641029
13	NAG	CAG	0.3194361	0.331738	0.3488259
14	NAG	NAG	0.14127937	0.77230793	0.08641273
15	CAG	NAG	0.14127494	0.77231336	0.08641176
16	NAG	NAG	0.14121915	0.77236116	0.08641971
17	NAG	CAG	0.3263602	0.31938845	0.35425127
18	OAG	CAG	0.31792858	0.32961234	0.3524591
19	NAG	NAG	0.14127356	0.77230936	0.086417094
20	NAG	NAG	0.14129084	0.7722963	0.08641281
21	CAG	CAG	0.3257418	0.3186645	0.35559377
22	NAG	NAG	0.14128286	0.7723041	0.08641302
23	CAG	CAG	0.3142147	0.3392891	0.3464961
24	NAG	CAG	0.33276662	0.30800042	0.35923305
25	CAG	NAG	0.14124002	0.77234596	0.086413965
26	CAG	NAG	0.1412865	0.77229935	0.08641419
27	OAG	NAG	0.30913672	0.3529132	0.3379501
28	NAG	NAG	0.14127536	0.7723082	0.086416416
29	NAG	NAG	0.14125142	0.7723272	0.086421445
30	CAG	NAG	0.14126979	0.7723116	0.086418636
31	CAG	CAG	0.33877006	0.29927763	0.3619523
32	OAG	NAG	0.14124891	0.77233243	0.08641876
33	NAG	NAG	0.14127305	0.7723184	0.08640856
34	NAG	NAG	0.14127918	0.7723035	0.08641734
35	NAG	CAG	0.32099387	0.3273605	0.35164565
36	CAG	NAG	0.14127143	0.77231187	0.0864166
37	OAG	NAG	0.20879827	0.6189238	0.17227797
38	NAG	NAG	0.14128806	0.7722992	0.086412765
39	OAG	CAG	0.32411304	0.3235717	0.3523152
40	NAG	NAG	0.26647213	0.48191646	0.2516114
41	NAG	NAG	0.14127888	0.77230287	0.08641827
42	NAG	NAG	0.30906272	0.34742442	0.34351292
43	NAG	NAG	0.14127599	0.7723105	0.08641351
44	OAG	NAG	0.30333763	0.36684266	0.32981968
45	OAG	CAG	0.33783644	0.3013472	0.3608163
46	OAG	CAG	0.32742348	0.31572327	0.3568532
47	NAG	NAG	0.14128092	0.7723046	0.08641448
48	CAG	CAG	0.33369732	0.30664486	0.35965776
49	NAG	NAG	0.27079624	0.463785	0.2654188
50	NAG	NAG	0.141287	0.77229947	0.086413465
51	OAG	CAG	0.31786555	0.32973772	0.35239676
52	NAG	NAG	0.14127697	0.77230966	0.08641343
53	NAG	CAG	0.3269917	0.31978947	0.35321882
54	OAG	NAG	0.14127591	0.77230996	0.08641407
55	NAG	NAG	0.14127448	0.7723105	0.08641497
56	NAG	NAG	0.14130148	0.7722861	0.08641248
57	NAG	NAG	0.14129059	0.7722951	0.08641425
58	OAG	NAG	0.29484868	0.38470644	0.32044485
59	CAG	CAG	0.32322702	0.32184857	0.35492447
60	NAG	NAG	0.14128841	0.7723009	0.08641063
61	NAG	NAG	0.23968263	0.5458045	0.2145128
62	NAG	NAG	0.14126198	0.7723244	0.08641363
63	NAG	CAG	0.32874763	0.31542647	0.35582593
64	CAG	NAG	0.2814599	0.4317512	0.28678882
65	NAG	NAG	0.14127143	0.77231133	0.0864173
66	CAG	NAG	0.14126167	0.7723244	0.08641388
67	CAG	CAG	0.32776058	0.313851	0.35838845
68	OAG	NAG	0.31087986	0.34879887	0.34032124
69	NAG	NAG	0.14127934	0.77230716	0.08641338
70	NAG	NAG	0.14125523	0.7723325	0.08641227
71	NAG	NAG	0.14128177	0.7723024	0.0864158
72	NAG	NAG	0.31045824	0.34799188	0.34154987
73	NAG	NAG	0.14126098	0.77232146	0.08641761
74	NAG	NAG	0.14126943	0.77231926	0.08641135
75	CAG	NAG	0.14124976	0.77234113	0.086409144
76	NAG	NAG	0.30966187	0.35556006	0.33477798
77	NAG	NAG	0.1412536	0.7723328	0.08641372
78	NAG	NAG	0.14126785	0.7723199	0.08641223
79	CAG	NAG	0.14127699	0.77230936	0.0864137
80	CAG	NAG	0.1412818	0.7723012	0.086416885
81	OAG	NAG	0.14126435	0.7723207	0.08641489
82	NAG	CAG	0.31330094	0.34125745	0.3454416
83	NAG	NAG	0.14129268	0.77229697	0.086410396
84	OAG	NAG	0.14127038	0.7723144	0.08641518
85	NAG	NAG	0.14124882	0.7723338	0.08641742
86	OAG	NAG	0.14126231	0.7723257	0.08641205
87	NAG	CAG	0.3336382	0.30610442	0.36025736
88	OAG	NAG	0.3048877	0.36400282	0.3311094
89	NAG	NAG	0.14128424	0.7722999	0.0864158
90	NAG	CAG	0.33253962	0.3087777	0.35868272
91	CAG	NAG	0.14125155	0.7723373	0.086411305
92	CAG	CAG	0.31796607	0.33383566	0.3481983
93	NAG	NAG	0.14129828	0.77228886	0.08641281
94	CAG	CAG	0.31231686	0.34111544	0.34656778
95	CAG	NAG	0.3094765	0.35332245	0.33720106
96	CAG	NAG	0.30834517	0.3493068	0.34234807
97	CAG	NAG	0.30964562	0.34962898	0.34072536
98	NAG	NAG	0.14129663	0.77229303	0.086410314
99	CAG	CAG	0.32366788	0.32000276	0.35632935
100	NAG	NAG	0.14129388	0.7722938	0.08641215
101	CAG	CAG	0.3100099	0.34407595	0.34591416
102	OAG	CAG	0.33314332	0.3075515	0.35930523
103	CAG	NAG	0.29692173	0.37890255	0.32417575
104	OAG	CAG	0.31748262	0.3345839	0.3479335
105	NAG	NAG	0.1412892	0.7722955	0.08641532
106	NAG	NAG	0.14127216	0.77231354	0.08641442
107	NAG	NAG	0.14126211	0.7723173	0.08642056
108	NAG	NAG	0.14127278	0.77231425	0.086412914
109	NAG	NAG	0.14128067	0.77230597	0.086413264
110	CAG	CAG	0.3300077	0.31076768	0.3592246
111	NAG	NAG	0.1412761	0.7723106	0.086413324
112	CAG	CAG	0.33314663	0.3073706	0.3594828
113	NAG	NAG	0.14127368	0.7723117	0.086414665
114	OAG	NAG	0.29240102	0.4057803	0.30181873
115	NAG	NAG	0.14128917	0.7723017	0.08640908
116	NAG	NAG	0.14127482	0.7723106	0.08641454
117	NAG	NAG	0.14128593	0.77229947	0.08641454
118	OAG	NAG	0.3054536	0.3568464	0.33770004
119	NAG	NAG	0.1412859	0.7723025	0.08641157
120	CAG	NAG	0.1412492	0.7723373	0.08641355
121	NAG	NAG	0.26548585	0.47968388	0.2548302
122	NAG	NAG	0.14127535	0.7723076	0.08641714
123	NAG	NAG	0.14128092	0.77230436	0.086414665
124	NAG	NAG	0.30380237	0.36369687	0.3325007
125	OAG	NAG	0.14125828	0.7723256	0.08641604
126	NAG	NAG	0.14127873	0.7723058	0.08641545
127	NAG	NAG	0.14127065	0.7723057	0.086423606
128	NAG	NAG	0.24640982	0.5249559	0.22863422
129	NAG	NAG	0.14126775	0.77231324	0.08641895
130	NAG	NAG	0.14127731	0.77230453	0.086418144
131	OAG	NAG	0.14128439	0.7722997	0.0864159
132	OAG	NAG	0.29747292	0.36937618	0.33315086
133	OAG	NAG	0.14128241	0.7722993	0.086418286
134	CAG	NAG	0.14126875	0.77231437	0.08641685
135	CAG	CAG	0.3290767	0.3131015	0.35782182
136	NAG	NAG	0.14127122	0.77231354	0.08641528
137	OAG	CAG	0.33814603	0.29220676	0.36964715
138	OAG	NAG	0.14127229	0.77231526	0.08641248
139	NAG	NAG	0.14128	0.7723059	0.08641413
140	NAG	NAG	0.14128947	0.7722998	0.086410664
