id	label	Sub-task B_preds	GEN_probs	NGEN_probs
0	NGEN	NGEN	0.24649912	0.7535008
1	NGEN	NGEN	0.02934409	0.9706559
2	NGEN	NGEN	0.01807724	0.9819228
3	NGEN	NGEN	0.067659386	0.9323406
4	NGEN	NGEN	0.021054354	0.97894573
5	NGEN	NGEN	0.010108125	0.98989195
6	NGEN	NGEN	0.06572814	0.9342719
7	NGEN	NGEN	0.0074617527	0.9925383
8	GEN	GEN	0.9335125	0.06648752
9	GEN	NGEN	0.124876946	0.87512296
10	NGEN	NGEN	0.005919997	0.99408
11	NGEN	NGEN	0.01432666	0.9856733
12	NGEN	NGEN	0.0068658595	0.9931341
13	NGEN	NGEN	0.0057725236	0.99422747
14	NGEN	NGEN	0.03838826	0.96161187
15	NGEN	NGEN	0.015755096	0.9842448
16	NGEN	NGEN	0.051424704	0.9485753
17	NGEN	NGEN	0.006515836	0.99348414
18	NGEN	NGEN	0.038505465	0.96149445
19	NGEN	NGEN	0.012378157	0.9876218
20	NGEN	NGEN	0.0071608815	0.9928391
21	NGEN	NGEN	0.06826887	0.9317311
22	NGEN	NGEN	0.006147129	0.99385273
23	NGEN	NGEN	0.010131839	0.9898681
24	NGEN	NGEN	0.06574819	0.93425184
25	NGEN	NGEN	0.007282811	0.9927172
26	NGEN	NGEN	0.008413928	0.991586
27	GEN	GEN	0.94340974	0.05659027
28	NGEN	NGEN	0.009192246	0.9908076
29	NGEN	NGEN	0.0061100824	0.9938899
30	NGEN	NGEN	0.0068585137	0.9931414
31	NGEN	NGEN	0.01156185	0.98843825
32	NGEN	NGEN	0.0057908488	0.9942092
33	NGEN	NGEN	0.008374506	0.99162555
34	NGEN	NGEN	0.0064928015	0.9935071
35	NGEN	NGEN	0.009723291	0.9902767
36	NGEN	NGEN	0.019649077	0.980351
37	NGEN	NGEN	0.0070141447	0.9929859
38	NGEN	NGEN	0.0054091276	0.9945909
39	GEN	NGEN	0.006555821	0.9934441
40	NGEN	NGEN	0.0061274744	0.9938724
41	NGEN	NGEN	0.008541975	0.99145794
42	NGEN	NGEN	0.00914988	0.99085015
43	NGEN	NGEN	0.0054571857	0.9945428
44	GEN	GEN	0.7525694	0.24743062
45	GEN	GEN	0.9747213	0.025278594
46	GEN	GEN	0.9292522	0.070747726
47	NGEN	NGEN	0.0056087477	0.99439126
48	NGEN	GEN	0.59744054	0.40255952
49	NGEN	NGEN	0.0069684	0.99303156
50	NGEN	NGEN	0.006685719	0.9933143
51	GEN	GEN	0.74920356	0.25079632
52	NGEN	NGEN	0.005584029	0.99441594
53	NGEN	NGEN	0.008054939	0.9919452
54	NGEN	NGEN	0.006159869	0.9938402
55	NGEN	NGEN	0.0063080695	0.99369186
56	NGEN	NGEN	0.0063671796	0.9936329
57	NGEN	NGEN	0.0060109817	0.993989
58	NGEN	NGEN	0.0064894957	0.99351066
59	NGEN	NGEN	0.014568359	0.98543155
60	NGEN	NGEN	0.039840404	0.9601596
61	NGEN	NGEN	0.00691902	0.99308103
62	NGEN	NGEN	0.0073923715	0.99260765
63	NGEN	NGEN	0.005566016	0.99443394
64	NGEN	NGEN	0.007980164	0.9920197
65	NGEN	NGEN	0.0069434606	0.99305665
66	NGEN	NGEN	0.007520753	0.99247915
67	NGEN	NGEN	0.14912857	0.85087144
68	GEN	GEN	0.88146853	0.11853148
69	NGEN	NGEN	0.0056848964	0.99431515
70	NGEN	NGEN	0.00627005	0.99373
71	NGEN	NGEN	0.010472007	0.98952806
72	NGEN	NGEN	0.0061911712	0.9938089
73	NGEN	NGEN	0.006757484	0.99324256
74	NGEN	NGEN	0.0059143426	0.9940857
75	NGEN	NGEN	0.006855924	0.99314404
76	NGEN	NGEN	0.006992899	0.9930072
77	NGEN	NGEN	0.005822133	0.9941779
78	NGEN	NGEN	0.0368489	0.9631511
79	NGEN	NGEN	0.0055010305	0.9944989
80	NGEN	NGEN	0.008840012	0.99115986
81	NGEN	NGEN	0.0068209	0.9931791
82	NGEN	NGEN	0.006344174	0.99365586
83	NGEN	NGEN	0.0064141015	0.993586
84	NGEN	NGEN	0.15020382	0.8497962
85	NGEN	NGEN	0.008436285	0.99156356
86	GEN	GEN	0.97686493	0.023134993
87	NGEN	NGEN	0.037303872	0.9626962
88	GEN	GEN	0.98287517	0.017124796
89	NGEN	NGEN	0.005615256	0.9943848
90	NGEN	NGEN	0.006325413	0.9936746
91	NGEN	NGEN	0.006621779	0.9933782
92	NGEN	NGEN	0.006658514	0.99334157
93	NGEN	NGEN	0.07076898	0.92923105
94	NGEN	NGEN	0.018571239	0.9814287
95	NGEN	NGEN	0.005531854	0.9944681
96	NGEN	NGEN	0.0057236836	0.9942763
97	NGEN	NGEN	0.005713292	0.9942867
98	NGEN	NGEN	0.0072360663	0.9927638
99	NGEN	NGEN	0.0066506667	0.9933494
100	NGEN	NGEN	0.0054465453	0.99455345
101	NGEN	NGEN	0.007891467	0.9921084
102	NGEN	NGEN	0.020470155	0.97952986
