id	label	Sub-task B_preds	GEN_probs	NGEN_probs
0	NGEN	NGEN	0.12748772	0.8725123
1	NGEN	NGEN	0.12752049	0.87247956
2	NGEN	NGEN	0.13428885	0.8657112
3	NGEN	NGEN	0.13320006	0.86679995
4	NGEN	NGEN	0.12757194	0.87242806
5	NGEN	NGEN	0.13050334	0.8694966
6	NGEN	NGEN	0.12873565	0.87126434
7	NGEN	NGEN	0.13180631	0.8681936
8	GEN	NGEN	0.12788408	0.8721159
9	GEN	NGEN	0.12725464	0.87274534
10	NGEN	NGEN	0.12706919	0.8729308
11	NGEN	NGEN	0.12704235	0.8729577
12	NGEN	NGEN	0.12717927	0.87282073
13	NGEN	NGEN	0.13299166	0.8670084
14	NGEN	NGEN	0.12679072	0.87320924
15	NGEN	NGEN	0.12738827	0.87261176
16	NGEN	NGEN	0.12734154	0.87265855
17	NGEN	NGEN	0.13396986	0.86603004
18	NGEN	NGEN	0.13208815	0.86791176
19	NGEN	NGEN	0.12907547	0.8709245
20	NGEN	NGEN	0.12678732	0.8732127
21	NGEN	NGEN	0.1336414	0.86635876
22	NGEN	NGEN	0.12667692	0.87332314
23	NGEN	NGEN	0.13350923	0.8664907
24	NGEN	NGEN	0.13424931	0.8657506
25	NGEN	NGEN	0.12880583	0.87119424
26	NGEN	NGEN	0.12705137	0.87294865
27	GEN	NGEN	0.1321434	0.8678566
28	NGEN	NGEN	0.12726283	0.8727371
29	NGEN	NGEN	0.1284416	0.8715584
30	NGEN	NGEN	0.12795357	0.8720465
31	NGEN	NGEN	0.13431533	0.8656847
32	NGEN	NGEN	0.12886392	0.8711362
33	NGEN	NGEN	0.12684831	0.87315166
34	NGEN	NGEN	0.12793088	0.8720691
35	NGEN	NGEN	0.13230929	0.8676907
36	NGEN	NGEN	0.1301544	0.86984557
37	NGEN	NGEN	0.12763792	0.87236214
38	NGEN	NGEN	0.12685962	0.87314034
39	GEN	NGEN	0.13299191	0.8670081
40	NGEN	NGEN	0.13252756	0.86747235
41	NGEN	NGEN	0.12906978	0.87093014
42	NGEN	NGEN	0.12938148	0.8706185
43	NGEN	NGEN	0.12761416	0.87238586
44	GEN	NGEN	0.1322528	0.86774725
45	GEN	NGEN	0.13399497	0.86600506
46	GEN	NGEN	0.13331044	0.8666895
47	NGEN	NGEN	0.12718415	0.87281585
48	NGEN	NGEN	0.13359948	0.86640054
49	NGEN	NGEN	0.13018124	0.8698188
50	NGEN	NGEN	0.12676293	0.873237
51	GEN	NGEN	0.13140948	0.8685904
52	NGEN	NGEN	0.12813734	0.8718626
53	NGEN	NGEN	0.13336112	0.86663896
54	NGEN	NGEN	0.12752642	0.8724735
55	NGEN	NGEN	0.12844075	0.87155926
56	NGEN	NGEN	0.12748057	0.8725195
57	NGEN	NGEN	0.12695302	0.873047
58	NGEN	NGEN	0.13280262	0.86719745
59	NGEN	NGEN	0.1330455	0.86695445
60	NGEN	NGEN	0.12690793	0.8730922
61	NGEN	NGEN	0.1308747	0.8691253
62	NGEN	NGEN	0.12759806	0.87240195
63	NGEN	NGEN	0.13413273	0.86586726
64	NGEN	NGEN	0.1299503	0.87004966
65	NGEN	NGEN	0.12728313	0.8727168
66	NGEN	NGEN	0.12877347	0.87122655
67	NGEN	NGEN	0.13390632	0.86609375
68	GEN	NGEN	0.13198511	0.86801493
69	NGEN	NGEN	0.12677656	0.8732234
70	NGEN	NGEN	0.12791567	0.8720843
71	NGEN	NGEN	0.1271901	0.8728098
72	NGEN	NGEN	0.13185729	0.8681427
73	NGEN	NGEN	0.12793143	0.8720686
74	NGEN	NGEN	0.12773025	0.8722698
75	NGEN	NGEN	0.13164297	0.868357
76	NGEN	NGEN	0.13286023	0.86713976
77	NGEN	NGEN	0.13076633	0.86923367
78	NGEN	NGEN	0.12961684	0.8703831
79	NGEN	NGEN	0.12688737	0.8731127
80	NGEN	NGEN	0.12700836	0.8729916
81	NGEN	NGEN	0.1286545	0.8713456
82	NGEN	NGEN	0.13231197	0.867688
83	NGEN	NGEN	0.12724854	0.8727515
84	NGEN	NGEN	0.12892516	0.8710748
85	NGEN	NGEN	0.12720141	0.87279856
86	GEN	NGEN	0.13200969	0.8679903
87	NGEN	NGEN	0.13473588	0.86526406
88	GEN	NGEN	0.13197447	0.8680255
89	NGEN	NGEN	0.12902328	0.8709768
90	NGEN	NGEN	0.13367058	0.8663294
91	NGEN	NGEN	0.13180907	0.8681908
92	NGEN	NGEN	0.13219076	0.86780924
93	NGEN	NGEN	0.12738359	0.8726164
94	NGEN	NGEN	0.13220617	0.8677938
95	NGEN	NGEN	0.13271286	0.86728716
96	NGEN	NGEN	0.12832777	0.8716722
97	NGEN	NGEN	0.13075474	0.8692453
98	NGEN	NGEN	0.1269944	0.8730057
99	NGEN	NGEN	0.13269374	0.8673062
100	NGEN	NGEN	0.12677197	0.8732281
101	NGEN	NGEN	0.13245738	0.86754256
102	NGEN	NGEN	0.13401015	0.8659898
103	NGEN	NGEN	0.13072026	0.8692798
104	GEN	NGEN	0.13174643	0.8682536
105	NGEN	NGEN	0.12790789	0.87209207
106	NGEN	NGEN	0.12734225	0.87265784
107	NGEN	NGEN	0.12792131	0.87207866
108	NGEN	NGEN	0.12794964	0.8720503
109	NGEN	NGEN	0.12696393	0.873036
110	NGEN	NGEN	0.13311677	0.8668832
111	NGEN	NGEN	0.12874176	0.8712583
112	NGEN	NGEN	0.13414188	0.8658581
113	NGEN	NGEN	0.12755199	0.872448
114	GEN	NGEN	0.13200714	0.8679929
115	NGEN	NGEN	0.12686376	0.87313616
116	NGEN	NGEN	0.12731467	0.8726854
117	NGEN	NGEN	0.1268971	0.87310284
