id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
0	NAG-NGEN	NAG-NGEN	0.01719664	0.019083614	0.006546262	0.6802338	0.012564359	0.26437545
1	NAG-NGEN	NAG-NGEN	0.019611107	0.06931833	0.0069835284	0.85584533	0.0059027183	0.042338878
2	OAG-NGEN	OAG-GEN	0.66484857	0.2604913	0.015163418	0.0054953885	0.025090314	0.028910857
3	OAG-NGEN	CAG-NGEN	0.3019146	0.28263786	0.016955279	0.015186704	0.06771273	0.31559289
4	NAG-NGEN	NAG-NGEN	0.024753924	0.017031139	0.0052515785	0.84656686	0.0075315693	0.09886503
5	NAG-NGEN	OAG-NGEN	0.16583325	0.39399013	0.014535649	0.038244743	0.03629495	0.3511011
6	OAG-NGEN	OAG-NGEN	0.29741082	0.4822419	0.024045607	0.05843442	0.03244406	0.105423175
7	OAG-NGEN	CAG-NGEN	0.08416131	0.3495294	0.01300594	0.087176286	0.031337995	0.43478903
8	OAG-GEN	NAG-NGEN	0.040566962	0.03482159	0.009021715	0.5247441	0.019524401	0.37132123
9	OAG-GEN	CAG-NGEN	0.33417174	0.17512913	0.015182808	0.025509788	0.056138102	0.39386827
10	NAG-NGEN	NAG-NGEN	0.0030339737	0.0025844811	0.0023493927	0.9846044	0.0016436605	0.0057841623
11	CAG-NGEN	CAG-NGEN	0.22544482	0.30529985	0.014203549	0.103340045	0.030434573	0.32127717
12	NAG-NGEN	NAG-NGEN	0.0029109193	0.0021564134	0.0026162958	0.98439693	0.0018740355	0.0060455273
13	NAG-NGEN	NAG-NGEN	0.0018397067	0.002107308	0.0019913553	0.9843641	0.0016712592	0.008026261
14	NAG-NGEN	NAG-NGEN	0.0022281117	0.0022510816	0.002254975	0.9840975	0.0017023383	0.007465977
15	CAG-NGEN	CAG-NGEN	0.10062697	0.14291744	0.013688748	0.09741664	0.046507467	0.5988427
16	NAG-NGEN	NAG-NGEN	0.007123195	0.0077810735	0.003083592	0.9366118	0.0032754997	0.042124853
17	NAG-NGEN	NAG-NGEN	0.006181425	0.0069919485	0.0033455673	0.8966708	0.004591753	0.0822184
18	OAG-NGEN	OAG-GEN	0.82416433	0.1071486	0.014964914	0.0053068385	0.02582555	0.022589656
19	NAG-NGEN	NAG-NGEN	0.0027003628	0.002544432	0.0019539848	0.98410124	0.0016010179	0.007099066
20	NAG-NGEN	NAG-NGEN	0.0030964906	0.0022693558	0.0027901272	0.9845922	0.0018111372	0.0054406114
