id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
0	NAG-NGEN	NAG-NGEN	0.14757098	0.09342191	0.0070038713	0.511336	0.019616315	0.22105096
1	NAG-NGEN	NAG-NGEN	0.091708176	0.057616588	0.0023777361	0.78654027	0.0049513737	0.05680588
2	OAG-NGEN	NAG-NGEN	0.17146714	0.11613566	0.013558027	0.3857873	0.036043815	0.27700794
3	OAG-NGEN	NAG-NGEN	0.17151922	0.116178915	0.013576168	0.3855442	0.036086205	0.27709514
4	NAG-NGEN	NAG-NGEN	0.09665292	0.0596012	0.00188855	0.7683811	0.0045753303	0.06890077
5	NAG-NGEN	NAG-NGEN	0.17126681	0.115938954	0.013537207	0.3865366	0.035956286	0.27676415
6	OAG-NGEN	NAG-NGEN	0.09450259	0.060423285	0.0025858926	0.778451	0.005295024	0.058742132
7	OAG-NGEN	NAG-NGEN	0.17164321	0.11632304	0.013620467	0.3846107	0.036216233	0.27758634
8	OAG-GEN	NAG-NGEN	0.09954489	0.0592566	0.0016335764	0.75287026	0.0045070583	0.08218771
9	OAG-GEN	NAG-NGEN	0.09641059	0.059800673	0.0019611816	0.7697814	0.0046473746	0.067398705
10	NAG-NGEN	NAG-NGEN	0.09444626	0.060368694	0.0025842383	0.7786409	0.005290471	0.05866952
11	CAG-NGEN	NAG-NGEN	0.09557287	0.06079754	0.0024012337	0.7746229	0.0051253145	0.061480157
12	NAG-NGEN	NAG-NGEN	0.09327705	0.059300143	0.0025402072	0.7821426	0.0051944316	0.057545487
13	NAG-NGEN	NAG-NGEN	0.1714449	0.1160925	0.013556437	0.3859439	0.03602769	0.27693456
14	NAG-NGEN	NAG-NGEN	0.099856384	0.059324607	0.001630927	0.75128055	0.004533067	0.083374605
15	CAG-NGEN	NAG-NGEN	0.12860303	0.077240795	0.0037386587	0.6104692	0.011148908	0.16879937
16	NAG-NGEN	NAG-NGEN	0.15190336	0.09750208	0.0080641825	0.4879045	0.022231834	0.23239395
17	NAG-NGEN	NAG-NGEN	0.17167208	0.11629839	0.013592471	0.38505277	0.03614333	0.27724105
18	OAG-NGEN	NAG-NGEN	0.17033507	0.11508601	0.013324911	0.3908657	0.035343885	0.27504444
19	NAG-NGEN	NAG-NGEN	0.09530798	0.060876127	0.0024997352	0.7757144	0.0052293437	0.060372338
20	NAG-NGEN	NAG-NGEN	0.09436093	0.06030376	0.0025861862	0.7789118	0.005289457	0.05854778
21	CAG-NGEN	NAG-NGEN	0.17142813	0.116089925	0.0135621205	0.38588378	0.036039982	0.27699608
22	NAG-NGEN	NAG-NGEN	0.09565154	0.06076515	0.002369283	0.7742719	0.0050915144	0.061850563
23	CAG-NGEN	NAG-NGEN	0.17123185	0.11589692	0.013522678	0.38676354	0.035918534	0.27666652
24	NAG-NGEN	NAG-NGEN	0.17157392	0.11620418	0.013573578	0.38545844	0.036087163	0.27710265
25	CAG-NGEN	NAG-NGEN	0.16915128	0.11403049	0.013021964	0.39662397	0.034521315	0.27265093
26	CAG-NGEN	NAG-NGEN	0.09576773	0.06069513	0.0023119499	0.7736749	0.005029855	0.062520325
27	OAG-GEN	NAG-NGEN	0.16639571	0.11149416	0.012233889	0.41061965	0.03248468	0.26677203
28	NAG-NGEN	NAG-NGEN	0.1532139	0.09875907	0.008407138	0.4807799	0.023071418	0.23576863
29	NAG-NGEN	NAG-NGEN	0.11828827	0.069615036	0.002656688	0.66144377	0.008082194	0.13991395
30	CAG-NGEN	NAG-NGEN	0.10871229	0.06340692	0.0019532917	0.7077639	0.0059081865	0.11225533
31	CAG-NGEN	NAG-NGEN	0.17158963	0.11625619	0.013575229	0.38530788	0.03610409	0.277167
32	OAG-NGEN	NAG-NGEN	0.15447852	0.0999799	0.008751233	0.47392932	0.023910575	0.2389504
33	NAG-NGEN	NAG-NGEN	0.09572082	0.060688373	0.0023276575	0.77390814	0.005045652	0.062309347
34	NAG-NGEN	NAG-NGEN	0.095343776	0.06086929	0.0024879365	0.77557904	0.0052167517	0.060503133
35	NAG-NGEN	NAG-NGEN	0.17134887	0.11599945	0.013539421	0.38631696	0.035974737	0.2768205
36	CAG-NGEN	NAG-NGEN	0.09468473	0.060569927	0.0025815854	0.7778652	0.005297787	0.059000984
37	OAG-NGEN	NAG-NGEN	0.14413683	0.090282865	0.0062525603	0.52976173	0.017734874	0.21183117
38	NAG-NGEN	NAG-NGEN	0.09475781	0.060606375	0.0025742345	0.777643	0.0052919043	0.05912675
39	OAG-GEN	NAG-NGEN	0.1714786	0.116115145	0.013562618	0.38579544	0.036046	0.2770022
40	NAG-NGEN	NAG-NGEN	0.15901017	0.10441681	0.010037119	0.44926068	0.027056063	0.25021902
