id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
0	NAG	NAG	0.0027341344	0.9909593	0.00630668
1	NAG	NAG	0.0022574977	0.9880872	0.009655351
2	OAG	OAG	0.9528167	0.02134321	0.02583997
3	CAG	CAG	0.052004766	0.11307587	0.83491945
4	NAG	NAG	0.0043007266	0.94357944	0.052119914
5	NAG	NAG	0.0021714235	0.9893637	0.008465044
6	CAG	CAG	0.1789831	0.028174127	0.7928428
7	NAG	NAG	0.008831906	0.97274697	0.018421076
8	CAG	CAG	0.17719588	0.20303667	0.6197674
9	NAG	NAG	0.0029399102	0.9816606	0.01539938
10	CAG	CAG	0.094235525	0.04524979	0.8605147
11	OAG	OAG	0.97665405	0.007505799	0.01584018
12	CAG	NAG	0.13448474	0.6917669	0.17374834
13	CAG	CAG	0.08578101	0.13863045	0.77558845
14	NAG	NAG	0.0015027354	0.98526853	0.0132288905
15	CAG	CAG	0.12701818	0.033339165	0.8396427
16	CAG	OAG	0.47467044	0.060398627	0.46493086
17	NAG	NAG	0.071500264	0.7604321	0.16806756
18	CAG	CAG	0.06207048	0.036661834	0.90126777
19	NAG	NAG	0.0019072624	0.98758954	0.010503227
20	CAG	CAG	0.022789367	0.025771603	0.951439
21	CAG	CAG	0.09050588	0.046066858	0.8634273
22	NAG	NAG	0.0029492122	0.9903572	0.0066934577
23	NAG	NAG	0.002412886	0.9911847	0.006402353
24	NAG	NAG	0.0019076698	0.98858935	0.009503089
25	OAG	OAG	0.9842249	0.007061439	0.008713674
26	NAG	NAG	0.0039903657	0.9596032	0.03640647
27	NAG	NAG	0.0037108946	0.9367225	0.059566636
28	NAG	NAG	0.0029320493	0.990476	0.006591976
29	OAG	OAG	0.9077022	0.03348089	0.058816854
30	CAG	CAG	0.022101097	0.072888196	0.90501076
31	OAG	OAG	0.96795434	0.017732337	0.014313304
32	OAG	OAG	0.97336084	0.008090071	0.018549051
33	CAG	CAG	0.02475058	0.02396064	0.95128864
34	NAG	NAG	0.0029493852	0.9693409	0.02770974
35	NAG	NAG	0.0061076265	0.9736988	0.02019361
36	CAG	CAG	0.01829182	0.045398474	0.9363097
37	NAG	NAG	0.0018297194	0.9814142	0.016756097
38	NAG	NAG	0.004664383	0.912998	0.08233769
39	NAG	CAG	0.026338965	0.16409513	0.8095659
40	NAG	NAG	0.0023055207	0.9907268	0.0069677755
