id	label	Sub-task A_preds	OAG_probs	NAG_probs	CAG_probs
0	NAG	NAG	0.01594561	0.92836034	0.05569409
1	NAG	NAG	0.01501845	0.9335161	0.051465612
2	OAG	CAG	0.3245544	0.3220595	0.35338607
3	CAG	OAG	0.6534509	0.06999955	0.27654952
4	NAG	CAG	0.278423	0.2678893	0.45368764
5	NAG	NAG	0.014938043	0.9338491	0.051212836
6	CAG	OAG	0.9115638	0.018067399	0.07036874
7	NAG	NAG	0.015194917	0.93278897	0.05201622
8	CAG	NAG	0.014876982	0.93385684	0.051266063
9	NAG	NAG	0.015460395	0.9310417	0.053497985
10	CAG	CAG	0.24696638	0.31664807	0.43638557
11	OAG	NAG	0.22253184	0.43208182	0.3453863
12	CAG	NAG	0.32055995	0.36542815	0.314012
13	CAG	CAG	0.3499524	0.23655826	0.41348928
14	NAG	NAG	0.0151296025	0.93272203	0.05214837
15	CAG	NAG	0.020197246	0.9098496	0.06995307
16	CAG	OAG	0.7133275	0.06353911	0.22313336
17	NAG	OAG	0.898524	0.023136605	0.07833939
18	CAG	OAG	0.80130464	0.041567266	0.15712813
19	NAG	NAG	0.01491366	0.9336759	0.05141035
20	CAG	NAG	0.3063793	0.35230187	0.34131885
21	CAG	CAG	0.31738487	0.23209791	0.4505172
22	NAG	NAG	0.01509384	0.9333164	0.051589604
23	NAG	NAG	0.014879224	0.93406975	0.05105114
24	NAG	NAG	0.014876357	0.93406	0.051063616
25	OAG	OAG	0.6511725	0.08935057	0.25947693
26	NAG	NAG	0.2965322	0.37825412	0.3252137
27	NAG	NAG	0.16510625	0.49482247	0.34007126
28	NAG	NAG	0.01523145	0.9328746	0.051893976
29	OAG	CAG	0.32831347	0.2804706	0.39121592
30	CAG	NAG	0.07133013	0.74388397	0.1847859
31	OAG	CAG	0.3284563	0.28720772	0.3843359
32	OAG	NAG	0.070954636	0.75844944	0.1705959
33	CAG	NAG	0.27097327	0.4281343	0.30089247
34	NAG	CAG	0.32445014	0.2306681	0.44488177
35	NAG	NAG	0.015186754	0.93270314	0.052109975
36	CAG	NAG	0.03380863	0.8603861	0.10580524
37	NAG	NAG	0.014963102	0.9337008	0.05133616
38	NAG	CAG	0.22835456	0.3383545	0.43329084
39	NAG	CAG	0.26820108	0.28099826	0.45080066
40	NAG	NAG	0.014937559	0.9339134	0.05114903
41	NAG	NAG	0.014915566	0.93397176	0.051112764
42	NAG	NAG	0.25143945	0.46270046	0.28585994
43	NAG	OAG	0.553011	0.12660065	0.3203883
44	CAG	OAG	0.9042865	0.01780827	0.07790524
45	OAG	OAG	0.900346	0.025333831	0.07432001
46	CAG	CAG	0.2683128	0.29287684	0.4388104
47	NAG	NAG	0.015126999	0.93280566	0.052067403
