0	NAG	a	Dada taratari
1	NAG	a	Tumi korbe Amar sathe
2	OAG	a	Ar ta chara a sob bessha peter cheleder okhan diye dhukano dorkar
3	CAG	a	কাকের শরীরে ময়ুরের পাখা লাগিয়েছে
4	NAG	a	পতিতাদের চরিত্র রাজনৈতিক নেতাদের থেকে হাজার গুন ভাল । ওদের সততা আাছে । টাকা মেরে দেয় না । ওদের আার ঘাটিওনা ভাই ।
5	NAG	a	Thik bolecho bhai
6	CAG	a	Sali bikhari bikhari tahkbe
7	NAG	a	অমানুষ
8	CAG	a	Ranur voice 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎eto karap gola
9	NAG	a	সত্যি কথা বলার জন্য ধন্যবাদ
10	CAG	a	যাই হোক সব ভুলে নতুন করে জিবন শুরু কর, ভূলটা তোরও ছিল
11	OAG	a	এই মহিলা মানসিক রোগী
12	CAG	a	Dur sala
13	CAG	a	Ranu mondol...gaan gaite e parena, ekdom faltu Gaan gai...r eto ohonkar kisher....babba.... celebrity thike Abar ok bhikarir poth a fele din...tokhon e bujhte parbe moja
14	NAG	a	Hindu jatta erokom hai
15	CAG	a	RANU PAGLI 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶
16	CAG	a	Tui ki ranu dir kom kichu
17	NAG	a	Ar beasi din na ranu mandal
18	CAG	a	কোথাকার ভিকারি
19	NAG	a	Kotha theke kuje eneche esob artist 😂😂😂😂😂😂😂😂
20	CAG	a	Rana gahater lok ran a ghate takho 🤣🤣🤔🤔🤯
21	CAG	a	রানুদি হাই কোটে গিয়ে ভিখা কোরতো............😁🤗😁.......
22	NAG	a	ha ha ha
23	NAG	a	Akdom thik bolechen dada
24	NAG	a	Ja bole6o vai .....ekdom
25	OAG	a	CAMERA KORTE SEKH BOKACHODA TARPOR CHULKATE JABI
26	NAG	a	Bhogoban ar chakor sobai
27	NAG	a	সবাই ঠিক আছে, এ ভিডিওটা করছে ওদের কিছু কাস্টমার বাড়ানোর জন্যে আর কিছু না ।
28	NAG	a	Hmm
29	OAG	a	beti ta khub soytan bikari . manus re khub opman kore.
30	CAG	a	যেখান থেকে নিয়ে আসা হয়েছে আবার সেখানে গিয়ে রেখে আসুন
31	OAG	a	@USER Tv are bokachoda cam ar jonno nittisto akta Manus thakbe taibole bonke noy janoyarbacha Tora to maa bon ke chudis Tora ai pobitro somporko ki bujbi
32	OAG	a	Upni bodhoy jan nijer jonno kotha sune tai to mone hochhe. Upner moto muske ei video korar jonno to juto peta kora uchid. Karon upni abar oder choto kore nije imcum korte chaichen
33	CAG	a	ami prothom theke Procchondo kortam na ranu ke
34	NAG	a	ভাহ ভাতিজা ভাহ চমতকার, তোমার কথা
35	NAG	a	বাস দাও
36	CAG	a	Kak ke moyur banano jabena
37	NAG	a	Kosto laglo...😢😢😢
38	NAG	a	কি দরকার ছিল এই ভিডিও বানানোর, পেটের দায়ে শরীর বেচছে, ভদ্রলোকের বাড়িতে কতো মেয়ে এই কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে
39	NAG	a	ওর সঙ্গে যা হয়েছে তার জন্য ওদের জেন ফাঁসি চাই
40	NAG	a	Nice dada Kub valo dada
41	NAG	a	Nice ha bhai
42	NAG	a	Eder fasi chai
43	NAG	a	relpeter kutta ranu ha ha ha
44	CAG	a	Faltu ranu di
45	OAG	a	Kala magi
46	CAG	a	কয়লা ঘুলে কখনো ময়লা যায় না ভাইয়া 🤣🤣🤣🤣🤣🤣🤣
47	NAG	a	@USER Chakraborty আপনি কি বুঝিয়েছেন ?
48	NAG	a	Ame o kamdunir ka6ei theke r oi ek e collage mane derozio te pore sotti ghotona ta khub e dengurus aj o vulte pari na
49	CAG	a	Biroktikor hoe gachhe ei Ranu Mandal r Himesh Reshamya ao jeno pagol hoe gachhe Ranu Mandal k famous koranor jonno.😂😂😂😂😂😂😂😂😂😂😂😂
50	NAG	a	Ak dom right 👏👏👏
51	NAG	a	OWao Kotha gulo darun bole6
52	NAG	a	Sera...😁😁😁😁😁
53	CAG	a	Ar Ranu mondol akta mentle.... Take Nia troll kore lab nai .
54	OAG	a	বাস নিয়ে ভোরে দিতে হবে শালী কে
55	NAG	a	A K BARE SATTI.
56	OAG	a	Khankir may amn may k puria Mara dorkar
57	OAG	a	Odar ka bichi kata dia dorkar sala harami dar
58	CAG	a	Amar bomi pai Amar na Amar Dadar c6eler boyos 5 boc6or tai or gan sunle ki gan c6i
59	OAG	a	Ranu tho eakta bal chira singar.
60	NAG	a	বারাইপুর টেশনের ল্যাবে কত দূর যেতে হবে বলুন প্লিজ
61	NAG	a	Amader ranaghate ranu di
62	OAG	a	তোমার চামরা গোটানোর দরকার। শালা ভিডিও করো। তোর মার মতোই রে ওই মহিলা।
63	OAG	a	Puriye mara darkar
64	CAG	a	@USER Paul ১৬১০৮ জনের হোগা মারছে কৃশ্ন, ১৬১০৮ জনের নাম কি তার মনে আছে?
65	NAG	a	Just kono ktha hbe na awsome fantabulas dia6o.
66	NAG	a	Dada video te titel ta thik kore lekhar chasta koro
67	OAG	a	ভিখারী ও ছোট মনের মেয়ে
68	NAG	a	শিখার বাবা আমার বাবার মত সৎ,এই বাবারাই কষট পায় বেশি
69	OAG	a	Bharot rapist der desh hawe gache.. Je deshe Ma meyeder kono samman nei sei desher konodin kichu habe na. Obhisap jabe kothay. Fucking rape capital. Amader desh pratidin dharshito hacche. Er kono sesh nei.. Fucking law and order..
70	NAG	a	এটা অবাক হরার কিছু নেই
71	NAG	a	ggg
72	NAG	a	কিন্তু সাকিব খান সবসময় যে মিডিয়া কে বলে আসছিল বাপ্পির সাথে তাকে নুড অবস্থায় অপু বিশ্বাস কে ধরেছে সাকিব খান।তাহলে কি সাকিবের কথাই সত্য প্রমানিত হল।
73	NAG	a	🤔🤔hm
