id	label	Sub-task B_preds	GEN_probs	NGEN_probs
0	NGEN	NGEN	0.012978936	0.987021
1	NGEN	NGEN	0.004748697	0.9952513
2	GEN	GEN	0.9799211	0.020078812
3	NGEN	NGEN	0.054104537	0.9458955
4	NGEN	GEN	0.59627867	0.40372133
5	NGEN	NGEN	0.0034228854	0.9965772
6	NGEN	NGEN	0.004398544	0.99560136
7	NGEN	NGEN	0.092083976	0.907916
8	NGEN	NGEN	0.0052244863	0.99477565
9	NGEN	NGEN	0.004767124	0.99523276
10	NGEN	NGEN	0.11377717	0.8862229
11	NGEN	NGEN	0.24780205	0.752198
12	NGEN	NGEN	0.0108518945	0.9891481
13	NGEN	NGEN	0.004044741	0.9959551
14	NGEN	NGEN	0.004435571	0.9955646
15	NGEN	NGEN	0.11514705	0.884853
16	NGEN	NGEN	0.00590108	0.99409896
17	NGEN	NGEN	0.007443128	0.99255675
18	NGEN	NGEN	0.005694335	0.9943057
19	NGEN	NGEN	0.0054984083	0.99450153
20	NGEN	NGEN	0.005994855	0.99400514
21	NGEN	NGEN	0.019149728	0.9808502
22	NGEN	NGEN	0.0057483	0.9942516
23	NGEN	NGEN	0.0034981486	0.99650186
24	NGEN	NGEN	0.0039007182	0.99609923
25	GEN	NGEN	0.10976422	0.8902357
26	NGEN	NGEN	0.017869506	0.98213047
27	NGEN	NGEN	0.008514688	0.99148536
28	NGEN	NGEN	0.092083976	0.907916
29	NGEN	NGEN	0.004520935	0.9954791
30	NGEN	NGEN	0.032743793	0.96725625
31	GEN	GEN	0.9896991	0.010300906
32	NGEN	NGEN	0.005358518	0.9946414
33	NGEN	NGEN	0.004255588	0.99574447
34	NGEN	NGEN	0.0043573542	0.99564266
35	NGEN	NGEN	0.01165591	0.988344
36	NGEN	NGEN	0.0045714485	0.99542856
37	NGEN	NGEN	0.0049059126	0.995094
38	GEN	NGEN	0.2612204	0.7387796
39	NGEN	NGEN	0.026165802	0.9738342
40	NGEN	NGEN	0.0035756687	0.9964242
41	NGEN	NGEN	0.0037793429	0.9962206
42	NGEN	NGEN	0.003795586	0.99620444
43	NGEN	NGEN	0.015100053	0.9849
44	NGEN	NGEN	0.08961185	0.9103882
45	GEN	GEN	0.9950086	0.004991419
46	NGEN	NGEN	0.014280077	0.98571986
47	NGEN	NGEN	0.041197527	0.9588025
48	NGEN	NGEN	0.006438994	0.9935611
49	NGEN	NGEN	0.0070136664	0.9929864
50	NGEN	NGEN	0.0042583654	0.99574167
51	NGEN	NGEN	0.0037708897	0.9962292
52	NGEN	NGEN	0.1215765	0.87842345
53	NGEN	NGEN	0.030330654	0.9696694
54	GEN	GEN	0.9886763	0.01132384
55	NGEN	NGEN	0.1220002	0.87799984
56	GEN	GEN	0.97602105	0.02397902
57	GEN	GEN	0.99206114	0.007938985
58	NGEN	NGEN	0.0075514554	0.9924486
59	NGEN	NGEN	0.0073259724	0.9926741
60	NGEN	NGEN	0.026954513	0.97304547
61	NGEN	NGEN	0.0053335363	0.9946665
62	GEN	GEN	0.56497896	0.43502107
63	NGEN	NGEN	0.0055999556	0.9944
64	NGEN	NGEN	0.068796605	0.9312034
65	NGEN	NGEN	0.0035173604	0.9964826
66	NGEN	NGEN	0.004722359	0.99527764
67	NGEN	NGEN	0.02694399	0.9730561
68	NGEN	NGEN	0.09281596	0.9071841
69	GEN	GEN	0.9914527	0.008547198
70	NGEN	NGEN	0.0058274823	0.99417245
71	NGEN	NGEN	0.008566465	0.99143356
72	NGEN	NGEN	0.1569947	0.84300524
73	NGEN	NGEN	0.092083976	0.907916
74	GEN	GEN	0.75031793	0.24968207
75	NGEN	NGEN	0.003475888	0.996524
76	NGEN	NGEN	0.0062798765	0.99372005
77	NGEN	NGEN	0.0036820092	0.996318
78	NGEN	NGEN	0.004809315	0.9951908
79	NGEN	NGEN	0.008255116	0.99174494
80	NGEN	NGEN	0.038287964	0.96171206
81	NGEN	NGEN	0.0041835587	0.9958164
82	NGEN	NGEN	0.092083976	0.907916
83	GEN	GEN	0.9496033	0.050396767
84	GEN	GEN	0.96725315	0.032746937
85	NGEN	NGEN	0.13191767	0.8680824
86	NGEN	GEN	0.8507404	0.14925969
87	NGEN	NGEN	0.14966564	0.85033435
88	NGEN	NGEN	0.16306747	0.8369325
89	NGEN	NGEN	0.00936305	0.99063706
90	NGEN	NGEN	0.11370227	0.8862978
91	GEN	GEN	0.99387455	0.0061254413
92	NGEN	NGEN	0.018192127	0.9818078
93	NGEN	NGEN	0.0059468043	0.99405324
94	NGEN	NGEN	0.028264046	0.97173595
95	NGEN	NGEN	0.003988779	0.9960114
96	NGEN	NGEN	0.0053767213	0.99462336
97	GEN	NGEN	0.24539948	0.7546005
98	NGEN	NGEN	0.009113034	0.990887
99	NGEN	NGEN	0.034500655	0.96549934
100	NGEN	NGEN	0.009731352	0.9902687
101	NGEN	NGEN	0.01431065	0.98568934
102	NGEN	NGEN	0.00788132	0.99211884
103	NGEN	NGEN	0.10591695	0.8940831
104	NGEN	NGEN	0.003809604	0.9961904
105	NGEN	NGEN	0.019334482	0.9806656
106	NGEN	NGEN	0.0066827424	0.9933171
107	NGEN	NGEN	0.05673597	0.943264
108	NGEN	NGEN	0.004180374	0.9958195
109	GEN	GEN	0.608846	0.391154
110	NGEN	NGEN	0.04362188	0.9563781
111	GEN	GEN	0.8830715	0.11692846
112	NGEN	NGEN	0.0041629984	0.9958371
113	GEN	GEN	0.98525864	0.014741232
114	NGEN	NGEN	0.092083976	0.907916
115	NGEN	NGEN	0.0632524	0.93674767
116	NGEN	NGEN	0.013608639	0.9863913
117	NGEN	NGEN	0.110457964	0.88954216
118	NGEN	NGEN	0.014535649	0.98546445
119	GEN	GEN	0.9946587	0.0053413343
120	NGEN	NGEN	0.0041045393	0.9958955
121	NGEN	NGEN	0.004467549	0.9955325
122	NGEN	NGEN	0.04895653	0.95104355
123	NGEN	NGEN	0.020525556	0.9794745
124	NGEN	NGEN	0.0044723363	0.99552774
125	NGEN	NGEN	0.012148308	0.9878516
126	NGEN	NGEN	0.00574622	0.99425375
127	NGEN	NGEN	0.031381667	0.9686184
