id	label	Sub-task B_preds	GEN_probs	NGEN_probs
0	NGEN	NGEN	0.07289195	0.92710805
1	NGEN	NGEN	0.078438796	0.9215612
2	GEN	GEN	0.72198254	0.27801734
3	NGEN	NGEN	0.102723695	0.89727634
4	NGEN	GEN	0.7190056	0.28099445
5	NGEN	NGEN	0.07238929	0.92761075
6	NGEN	GEN	0.7242108	0.27578923
7	NGEN	NGEN	0.07673776	0.92326224
8	NGEN	NGEN	0.07146701	0.928533
9	NGEN	NGEN	0.06958265	0.9304174
10	NGEN	NGEN	0.070194684	0.92980534
11	NGEN	NGEN	0.090576515	0.90942353
12	NGEN	NGEN	0.06962342	0.9303767
13	NGEN	NGEN	0.09624599	0.903754
14	NGEN	NGEN	0.077695854	0.9223041
15	NGEN	NGEN	0.076091625	0.9239084
16	NGEN	NGEN	0.106356874	0.8936431
17	NGEN	NGEN	0.073693104	0.9263069
18	NGEN	NGEN	0.07199838	0.9280017
19	NGEN	NGEN	0.0716523	0.9283477
20	NGEN	GEN	0.7186263	0.28137374
21	NGEN	NGEN	0.07187215	0.9281278
22	NGEN	NGEN	0.06940578	0.9305942
23	NGEN	NGEN	0.07087727	0.9291227
24	NGEN	NGEN	0.07042316	0.9295768
25	GEN	NGEN	0.077764854	0.9222351
26	NGEN	NGEN	0.09905794	0.90094197
27	NGEN	NGEN	0.07209547	0.9279046
28	NGEN	NGEN	0.0718883	0.9281117
29	NGEN	NGEN	0.078437544	0.9215625
30	NGEN	NGEN	0.071836814	0.9281631
31	GEN	NGEN	0.08448172	0.9155183
32	NGEN	NGEN	0.079874344	0.92012566
33	NGEN	NGEN	0.07076868	0.92923135
34	NGEN	NGEN	0.0993455	0.9006545
35	NGEN	NGEN	0.07044209	0.929558
36	NGEN	NGEN	0.08198789	0.9180121
37	NGEN	NGEN	0.070208445	0.9297915
38	GEN	NGEN	0.09957839	0.9004216
39	NGEN	NGEN	0.07512163	0.92487836
40	NGEN	NGEN	0.07311289	0.92688704
41	NGEN	NGEN	0.06964424	0.93035585
42	NGEN	NGEN	0.074081756	0.9259182
43	NGEN	NGEN	0.09707237	0.9029277
44	NGEN	NGEN	0.072022006	0.9279779
45	GEN	GEN	0.720293	0.27970695
46	NGEN	NGEN	0.07502741	0.92497265
47	NGEN	NGEN	0.070843734	0.92915624
48	NGEN	NGEN	0.09490617	0.90509385
49	NGEN	NGEN	0.076096	0.9239039
50	NGEN	NGEN	0.070014305	0.9299857
51	NGEN	NGEN	0.07085285	0.9291472
52	NGEN	NGEN	0.070223644	0.92977643
53	NGEN	NGEN	0.081424266	0.91857576
54	GEN	NGEN	0.10147748	0.89852244
55	NGEN	NGEN	0.07164839	0.9283517
56	GEN	GEN	0.7217246	0.2782753
57	GEN	NGEN	0.087601535	0.91239846
58	NGEN	NGEN	0.07845634	0.9215436
59	NGEN	NGEN	0.16343145	0.8365685
60	NGEN	NGEN	0.07563337	0.9243667
61	NGEN	NGEN	0.10363146	0.89636856
62	GEN	NGEN	0.08110826	0.9188917
63	NGEN	NGEN	0.095619224	0.9043807
64	NGEN	NGEN	0.07367668	0.92632335
65	NGEN	NGEN	0.0754642	0.92453575
66	NGEN	NGEN	0.07132029	0.92867976
67	NGEN	NGEN	0.071759336	0.9282407
68	NGEN	NGEN	0.07223249	0.92776746
69	GEN	NGEN	0.12670404	0.87329596
70	NGEN	NGEN	0.06997432	0.93002564
71	NGEN	NGEN	0.069654405	0.93034565
72	NGEN	NGEN	0.073648036	0.92635196
73	NGEN	NGEN	0.07073852	0.9292615
74	GEN	GEN	0.7178137	0.28218636
75	NGEN	NGEN	0.071577884	0.9284222
76	NGEN	NGEN	0.076004155	0.92399585
77	NGEN	NGEN	0.07353348	0.9264665
78	NGEN	NGEN	0.069761135	0.93023896
79	NGEN	NGEN	0.12388122	0.87611884
80	NGEN	NGEN	0.07374476	0.9262552
81	NGEN	NGEN	0.07889976	0.9211002
82	NGEN	NGEN	0.0701262	0.92987376
83	GEN	NGEN	0.07047927	0.9295207
84	GEN	NGEN	0.08525568	0.91474426
85	NGEN	GEN	0.7179524	0.2820477
86	NGEN	NGEN	0.07394805	0.92605186
87	NGEN	NGEN	0.07051298	0.92948693
88	NGEN	NGEN	0.087900355	0.9120997
89	NGEN	NGEN	0.069542564	0.9304574
90	NGEN	NGEN	0.07365497	0.926345
91	GEN	NGEN	0.07245897	0.9275411
92	NGEN	NGEN	0.075157665	0.9248424
93	NGEN	NGEN	0.08561192	0.9143881
94	NGEN	NGEN	0.078210056	0.9217899
95	NGEN	NGEN	0.07013476	0.9298652
96	NGEN	NGEN	0.071231276	0.9287688
97	GEN	NGEN	0.070953704	0.9290463
98	NGEN	NGEN	0.07421124	0.92578876
99	NGEN	NGEN	0.06997085	0.93002915
100	NGEN	GEN	0.71742356	0.28257647
101	NGEN	NGEN	0.06973047	0.93026954
102	NGEN	NGEN	0.07130128	0.9286987
103	NGEN	NGEN	0.077129886	0.92287016
104	NGEN	NGEN	0.07086573	0.92913425
105	NGEN	NGEN	0.076183945	0.923816
106	NGEN	NGEN	0.06990307	0.9300969
107	NGEN	NGEN	0.070911765	0.92908823
108	NGEN	NGEN	0.07451774	0.9254822
109	GEN	NGEN	0.07633995	0.9236601
110	NGEN	NGEN	0.08442356	0.91557634
111	GEN	NGEN	0.09392636	0.90607363
112	NGEN	NGEN	0.070074506	0.9299255
113	GEN	NGEN	0.072200775	0.92779917
114	NGEN	NGEN	0.07212714	0.92787284
115	NGEN	NGEN	0.09142795	0.908572
116	NGEN	NGEN	0.11706924	0.88293076
117	NGEN	NGEN	0.06981491	0.9301851
118	NGEN	NGEN	0.07206381	0.92793614
119	GEN	GEN	0.71867156	0.28132844
120	NGEN	NGEN	0.073357396	0.92664254
121	NGEN	NGEN	0.0694997	0.93050027
122	NGEN	NGEN	0.070551254	0.9294487
123	NGEN	NGEN	0.06948103	0.930519
124	NGEN	NGEN	0.08668802	0.913312
125	NGEN	NGEN	0.09245834	0.90754163
126	NGEN	NGEN	0.070902735	0.92909724
127	NGEN	NGEN	0.077609934	0.9223901
128	NGEN	NGEN	0.07136637	0.92863375
129	NGEN	NGEN	0.073629744	0.9263703
130	GEN	NGEN	0.08786419	0.9121358
131	NGEN	NGEN	0.08952133	0.91047865
132	GEN	NGEN	0.08055272	0.91944724
133	NGEN	NGEN	0.0721286	0.9278714
134	NGEN	NGEN	0.09265619	0.90734386
135	NGEN	GEN	0.7358977	0.2641023
136	NGEN	NGEN	0.09793666	0.90206325
137	NGEN	NGEN	0.07596481	0.9240352
138	GEN	GEN	0.72190994	0.27809
139	NGEN	NGEN	0.0726099	0.92739016
140	NGEN	NGEN	0.08505789	0.9149421
141	NGEN	NGEN	0.07020459	0.9297955
142	NGEN	NGEN	0.0990826	0.9009175
143	NGEN	NGEN	0.081579275	0.91842073
144	NGEN	NGEN	0.07342854	0.9265714
145	GEN	GEN	0.72054094	0.27945906
146	NGEN	NGEN	0.07215393	0.9278461
147	NGEN	NGEN	0.07188093	0.928119
148	NGEN	NGEN	0.07416488	0.9258351
149	NGEN	NGEN	0.076450765	0.92354923
150	NGEN	GEN	0.71861666	0.28138334
151	NGEN	NGEN	0.07214514	0.92785496
152	NGEN	NGEN	0.080872774	0.9191273
153	NGEN	NGEN	0.07254834	0.9274516
154	NGEN	NGEN	0.07173085	0.92826915
155	GEN	GEN	0.7158406	0.28415945
156	NGEN	NGEN	0.073930025	0.92607
157	NGEN	NGEN	0.0757133	0.9242867
158	GEN	GEN	0.7228969	0.27710307
159	NGEN	NGEN	0.07385952	0.9261404
160	NGEN	NGEN	0.1130253	0.88697475
161	NGEN	NGEN	0.073251374	0.92674863
162	NGEN	GEN	0.71938574	0.28061417
