id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
0	NAG-NGEN	NAG-NGEN	0.0016921863	0.0045700492	0.002530842	0.98190194	0.002488182	0.006816624
1	NAG-NGEN	NAG-NGEN	0.0018979795	0.0033632643	0.0026684038	0.9851393	0.0025860332	0.0043449905
2	OAG-GEN	CAG-NGEN	0.021328144	0.21126239	0.04378648	0.106183216	0.02917454	0.5882652
3	CAG-NGEN	CAG-NGEN	0.009375809	0.04835057	0.022151677	0.070415124	0.029967837	0.81973916
4	NAG-NGEN	NAG-NGEN	0.005396231	0.012087734	0.022672668	0.89147794	0.020769604	0.047595967
5	NAG-NGEN	NAG-NGEN	0.0020214352	0.0034072397	0.0027961966	0.98483497	0.0027562685	0.0041839536
6	CAG-NGEN	OAG-NGEN	0.07433095	0.6419651	0.04004182	0.037512027	0.032259	0.17389111
7	NAG-NGEN	NAG-NGEN	0.0028666945	0.005204222	0.0049060904	0.9739528	0.0062124874	0.006857951
8	CAG-NGEN	CAG-NGEN	0.008968482	0.19202304	0.018757427	0.14563343	0.014122044	0.62049544
9	NAG-NGEN	NAG-NGEN	0.0016058576	0.0031219064	0.002834287	0.982724	0.0032171689	0.006496945
10	CAG-NGEN	CAG-NGEN	0.0073906025	0.07083902	0.016116349	0.043046474	0.020104494	0.84250313
11	OAG-NGEN	OAG-NGEN	0.15218005	0.31404024	0.11756294	0.12051393	0.13207121	0.16363156
12	CAG-NGEN	OAG-NGEN	0.025628809	0.49758074	0.028786927	0.16805086	0.023247113	0.25670555
13	CAG-NGEN	CAG-NGEN	0.008330091	0.08372336	0.02466789	0.051706806	0.018201455	0.81337035
14	NAG-NGEN	NAG-NGEN	0.0014718594	0.00338259	0.002556467	0.9844955	0.002331382	0.0057622055
15	CAG-NGEN	CAG-NGEN	0.011539951	0.17478518	0.018512871	0.2240485	0.014511015	0.55660254
16	CAG-NGEN	CAG-NGEN	0.016155373	0.28254423	0.018400673	0.13506877	0.0107454825	0.53708535
17	NAG-NGEN	NAG-NGEN	0.0050557237	0.020229949	0.0055908146	0.9378188	0.0047235303	0.026581092
18	CAG-NGEN	CAG-NGEN	0.0141605865	0.15447792	0.018655423	0.0342338	0.021353085	0.7571191
19	NAG-NGEN	NAG-NGEN	0.00137259	0.0035936092	0.0032844269	0.9800332	0.0025800546	0.009136138
20	CAG-NGEN	CAG-NGEN	0.0073242574	0.14952154	0.021680977	0.11911885	0.016527308	0.6858271
21	CAG-NGEN	CAG-NGEN	0.014225761	0.15468721	0.021889023	0.039411273	0.030173656	0.73961306
22	NAG-NGEN	NAG-NGEN	0.0026000522	0.0037758755	0.0032920865	0.9824541	0.0033059786	0.0045720763
23	NAG-NGEN	NAG-NGEN	0.0014841561	0.0031548333	0.0025815854	0.984943	0.0025458857	0.0052904207
24	NAG-NGEN	NAG-NGEN	0.0013863659	0.0029099118	0.0032648772	0.9840524	0.0029291846	0.005457425
25	OAG-GEN	OAG-GEN	0.87018573	0.048045885	0.03350871	0.0044133114	0.036175277	0.0076711457
26	NAG-NGEN	NAG-NGEN	0.0021742375	0.0037227906	0.002851412	0.9842796	0.002563794	0.0044083013
27	NAG-NGEN	NAG-NGEN	0.0018979242	0.005373105	0.0065133385	0.93750316	0.0067747803	0.04193766
28	NAG-NGEN	NAG-NGEN	0.0017899037	0.0031009146	0.0028604462	0.985191	0.0029602018	0.0040975465
29	OAG-NGEN	CAG-NGEN	0.008368103	0.121406704	0.018135147	0.06869164	0.014466689	0.7689318
30	CAG-NGEN	CAG-NGEN	0.0061866827	0.04391273	0.016312482	0.06660615	0.019931998	0.84704995
31	OAG-GEN	OAG-GEN	0.9084812	0.014477212	0.026013525	0.00401036	0.041608453	0.0054093497
32	OAG-NGEN	CAG-NGEN	0.014549178	0.15364645	0.026089706	0.042009685	0.01964628	0.7440586
33	CAG-NGEN	CAG-NGEN	0.0065226997	0.064853735	0.014648214	0.06954802	0.011668127	0.8327593
34	NAG-NGEN	NAG-NGEN	0.001626038	0.0038950788	0.00358832	0.9783164	0.0033946682	0.009179495
35	NAG-NGEN	NAG-NGEN	0.0075818137	0.009295387	0.010487948	0.94716865	0.015263091	0.010202985
36	CAG-NGEN	CAG-NGEN	0.007638244	0.10120443	0.016774043	0.057524584	0.013911364	0.8029473
37	NAG-NGEN	NAG-NGEN	0.0016840812	0.003294871	0.0032353066	0.9838432	0.0033141323	0.0046282187
38	NAG-GEN	CAG-NGEN	0.059637915	0.07049392	0.2528976	0.119693	0.2341175	0.26316005
39	NAG-NGEN	NAG-NGEN	0.0069829724	0.052122314	0.030630019	0.6429183	0.028034328	0.23931207
40	NAG-NGEN	NAG-NGEN	0.0013656359	0.003276265	0.0027059866	0.9844838	0.0025366377	0.0056317793
41	NAG-NGEN	NAG-NGEN	0.0022321655	0.0038948338	0.0032077774	0.9831702	0.003319915	0.00417536
