id	label	Sub-task C_preds	OAG-GEN_probs	OAG-NGEN_probs	NAG-GEN_probs	NAG-NGEN_probs	CAG-GEN_probs	CAG-NGEN_probs
0	NAG-NGEN	CAG-NGEN	0.012260665	0.22025007	0.021297641	0.33963746	0.019072914	0.38748133
1	NAG-NGEN	NAG-NGEN	0.0010150673	0.0028029515	0.0071410737	0.9697825	0.002714216	0.016544119
2	OAG-GEN	OAG-GEN	0.89583826	0.041376345	0.011132032	0.002493842	0.045360498	0.00379903
3	CAG-NGEN	CAG-NGEN	0.013809253	0.109586515	0.01997517	0.074048325	0.044740822	0.7378398
4	NAG-NGEN	NAG-NGEN	0.016970549	0.02911624	0.069490634	0.47646868	0.06239139	0.3455624
5	NAG-NGEN	NAG-NGEN	0.0006668093	0.0014686646	0.0030752078	0.98690057	0.0012612403	0.0066276453
6	CAG-NGEN	OAG-NGEN	0.07281556	0.52779233	0.013850239	0.018968105	0.043261614	0.323312
7	NAG-NGEN	NAG-NGEN	0.018301653	0.06838215	0.04409261	0.67156273	0.026644345	0.17101656
8	CAG-NGEN	NAG-NGEN	0.0023250817	0.011789504	0.012236387	0.9128953	0.0057914704	0.054962404
9	NAG-NGEN	NAG-NGEN	0.000671879	0.0015367207	0.003385228	0.98501575	0.0013685686	0.008021635
10	CAG-NGEN	CAG-NGEN	0.004799686	0.0305325	0.025507044	0.23537242	0.031814374	0.6719739
11	OAG-NGEN	OAG-NGEN	0.18391272	0.21308427	0.09265113	0.19001758	0.12022875	0.20010555
12	CAG-NGEN	OAG-NGEN	0.2903271	0.47476164	0.030364819	0.090752386	0.043095253	0.070698805
13	CAG-NGEN	CAG-NGEN	0.030058011	0.0693463	0.03796725	0.11876015	0.08393922	0.659929
14	NAG-NGEN	NAG-NGEN	0.0020953962	0.0073572164	0.013709246	0.938642	0.0055176467	0.03267825
15	CAG-NGEN	CAG-NGEN	0.009435116	0.07627857	0.024549937	0.15228853	0.02949419	0.70795375
16	CAG-NGEN	CAG-NGEN	0.023234414	0.24044736	0.04231687	0.3254543	0.029965358	0.3385816
17	NAG-NGEN	CAG-NGEN	0.022984676	0.25499946	0.030719908	0.25076917	0.036181033	0.4043458
18	CAG-NGEN	CAG-NGEN	0.020905614	0.4041353	0.0105146775	0.03947972	0.027984176	0.49698064
19	NAG-NGEN	NAG-NGEN	0.0008387322	0.0023732223	0.00541581	0.9756052	0.0020694314	0.013697367
20	CAG-NGEN	OAG-NGEN	0.18119295	0.38635728	0.03826677	0.058653362	0.110569865	0.22495967
21	CAG-NGEN	CAG-NGEN	0.006897174	0.15767947	0.009498716	0.047275975	0.022746548	0.7559022
22	NAG-NGEN	NAG-NGEN	0.00074482156	0.0017115962	0.0034045728	0.98541605	0.0013611312	0.0073618805
23	NAG-NGEN	NAG-NGEN	0.0006640447	0.0014217467	0.0030139035	0.98720276	0.0012069615	0.0064903838
24	NAG-NGEN	NAG-NGEN	0.0006498801	0.0014109066	0.0030099037	0.98719853	0.0012012748	0.006529686
25	OAG-GEN	OAG-NGEN	0.16673349	0.42835346	0.037565976	0.08874337	0.06924773	0.20935577
26	NAG-NGEN	NAG-NGEN	0.013472688	0.08081252	0.03460047	0.45323282	0.033043396	0.38483796
27	NAG-NGEN	NAG-NGEN	0.00147127	0.0048119505	0.019669062	0.9017172	0.008148257	0.06418229
28	NAG-NGEN	NAG-NGEN	0.0007253916	0.0013779358	0.002703976	0.9888182	0.001153683	0.005220763
29	OAG-NGEN	CAG-NGEN	0.022724155	0.16198243	0.030814242	0.11257118	0.04123081	0.6306772
30	CAG-NGEN	CAG-NGEN	0.0043765744	0.04034147	0.025878342	0.1970801	0.031955402	0.7003681
31	OAG-GEN	OAG-GEN	0.9184358	0.020026132	0.012731949	0.002189171	0.04438623	0.0022307397
32	OAG-NGEN	CAG-NGEN	0.005468342	0.041832987	0.035384372	0.37929764	0.026490312	0.51152617
33	CAG-NGEN	NAG-NGEN	0.0031567235	0.022062138	0.03062368	0.6693115	0.016139904	0.25870615
34	NAG-NGEN	NAG-NGEN	0.04069233	0.068665996	0.059031192	0.56764185	0.047455553	0.21651317
35	NAG-NGEN	NAG-NGEN	0.0008452766	0.0021532578	0.004431723	0.98069143	0.0018080059	0.010070182
36	CAG-NGEN	NAG-NGEN	0.0028175241	0.030715536	0.029753156	0.6211125	0.014904155	0.30069712
37	NAG-NGEN	NAG-NGEN	0.0010604353	0.0029056924	0.005994303	0.9732643	0.002395061	0.014380388
38	NAG-GEN	NAG-NGEN	0.030369764	0.047936134	0.08192393	0.4649492	0.0718512	0.3029698
39	NAG-NGEN	NAG-NGEN	0.015378679	0.07145611	0.042875025	0.4296873	0.04683006	0.39377275
40	NAG-NGEN	NAG-NGEN	0.0006768345	0.0013763664	0.0029706997	0.98782337	0.0012046512	0.0059479782
41	NAG-NGEN	NAG-NGEN	0.00068317226	0.0012999634	0.002783917	0.98868006	0.0011485082	0.0054040877
42	NAG-NGEN	NAG-NGEN	0.0013937198	0.0046383045	0.008139662	0.9626311	0.0031802473	0.0200171
43	NAG-NGEN	CAG-NGEN	0.0071998863	0.112194404	0.028477894	0.29847887	0.023318224	0.53033084
44	CAG-NGEN	OAG-NGEN	0.054918077	0.6328803	0.016835168	0.08721232	0.0278656	0.18028861
45	OAG-GEN	OAG-GEN	0.9425009	0.008399493	0.011439924	0.0016909216	0.034649976	0.001318516
46	CAG-NGEN	CAG-NGEN	0.007192395	0.070542425	0.01435545	0.070981726	0.03248494	0.80444306
47	NAG-NGEN	NAG-NGEN	0.0007064524	0.0017873715	0.0037822346	0.98311067	0.0014786527	0.009134543
48	NAG-NGEN	NAG-NGEN	0.0020223733	0.012919098	0.0254615	0.7712526	0.012085618	0.17625883
49	CAG-NGEN	CAG-NGEN	0.011521559	0.19220549	0.014968904	0.076457165	0.027219484	0.6776273
50	NAG-NGEN	NAG-NGEN	0.00067151355	0.0014310444	0.003030388	0.9871251	0.0012114455	0.0065304306
51	NAG-NGEN	NAG-NGEN	0.0006815087	0.0018425819	0.0037310435	0.9824649	0.0014811966	0.009798986
52	NAG-NGEN	NAG-NGEN	0.00068601914	0.0013025522	0.002892572	0.9883497	0.0011711867	0.005598199
53	CAG-NGEN	CAG-NGEN	0.0077988734	0.18033828	0.01800564	0.1328601	0.021640535	0.6393567
54	OAG-GEN	OAG-GEN	0.6157943	0.19653296	0.027677465	0.016945636	0.099409685	0.04363994
55	NAG-NGEN	NAG-NGEN	0.0014144094	0.0037486304	0.00894297	0.963846	0.0034299453	0.018617846
56	OAG-GEN	OAG-GEN	0.94030356	0.010339083	0.010487473	0.0011171503	0.036548804	0.00120395
57	OAG-GEN	OAG-NGEN	0.2782026	0.484055	0.025447961	0.044169135	0.063413404	0.10471183
58	CAG-NGEN	CAG-NGEN	0.003333786	0.021121752	0.031769313	0.44023955	0.02452357	0.4790121
59	OAG-NGEN	CAG-NGEN	0.014338073	0.3929185	0.01307828	0.08891099	0.018287329	0.4724668
60	NAG-NGEN	CAG-NGEN	0.008138824	0.038370986	0.042322557	0.363621	0.038146958	0.5093998
61	NAG-NGEN	CAG-NGEN	0.01255273	0.22671494	0.029819293	0.29716137	0.024138233	0.40961358
62	OAG-GEN	OAG-GEN	0.6274635	0.1316327	0.033780243	0.009002257	0.15888402	0.03923714
63	OAG-NGEN	OAG-GEN	0.76773375	0.18777326	0.011173411	0.0044946	0.023715204	0.0051097116
64	CAG-NGEN	CAG-NGEN	0.04844058	0.08570257	0.083698414	0.29935083	0.08435873	0.398449
65	NAG-NGEN	NAG-NGEN	0.00086313847	0.002431051	0.0054646875	0.9751043	0.0020968055	0.014040007
66	NAG-NGEN	NAG-NGEN	0.0009406425	0.0029875473	0.0069061285	0.9670192	0.002603099	0.019543087
